sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"A cat , pouncing , examining , equally curious and indifferent .","A/DT cat/NN ,/, pouncing/NN ,/, examining/JJ ,/, equally/RB curious/JJ and/CC indifferent/JJ ./.","det(cat-2, A-1) root(ROOT-0, cat-2) appos(cat-2, pouncing-4) amod(cat-2, examining-6) advmod(curious-9, equally-8) amod(cat-2, curious-9) conj:and(examining-6, curious-9) cc(examining-6, and-10) amod(cat-2, indifferent-11) conj:and(examining-6, indifferent-11)  ",cat,2,"det(cat-2, A-1) appos(cat-2, pouncing-4) amod(cat-2, examining-6) amod(cat-2, curious-9) amod(cat-2, indifferent-11) root(ROOT-0, cat-2) ","A cat , pouncing , examining ,",NN,[],,,,,,,,,[],[],[],[],['A'],other,[],[],[],[],"['examining', 'curious', 'indifferent']",[],[],[],[],[],"['modified', 'pouncing']",[],['pouncing'],[],[],,,singular,linked,,[],unknown,unknown
"The passage where Rachel "" curls and curves ... With satisfied ferocity , "" also strongly evokes an imagery of sexually menacing big cats which Eliot made especially his own and which perhaps "" became most definitive "" in the "" couched Brazilian jaguar "" who is outdone by Grishkin in "" Whispers of Immortality , "" itself a non-Symbolist poem deriving from a poem by Gautier , also non-Symbolist and very hard-edged .","The/DT passage/NN where/WRB Rachel/NNP ''/'' curls/VBZ and/CC curves/VBZ .../: With/IN satisfied/VBN ferocity/NN ,/, ''/'' also/RB strongly/RB evokes/VBZ an/DT imagery/NN of/IN sexually/RB menacing/JJ big/JJ cats/NNS which/WDT Eliot/NNP made/VBD especially/RB his/PRP$ own/JJ and/CC which/WDT perhaps/RB ''/'' became/VBD most/RBS definitive/JJ ''/'' in/IN the/DT ''/'' couched/VBN Brazilian/JJ jaguar/NN ''/'' who/WP is/VBZ outdone/VBN by/IN Grishkin/NNP in/IN ''/'' Whispers/NNP of/IN Immortality/NNP ,/, ''/'' itself/PRP a/DT non-Symbolist/JJ poem/NN deriving/VBG from/IN a/DT poem/NN by/IN Gautier/NNP ,/, also/RB non-Symbolist/JJ and/CC very/RB hard-edged/JJ ./.","det(passage-2, The-1) nsubj(evokes-17, passage-2) advmod(curls-6, where-3) nsubj(curls-6, Rachel-4) nsubj(curves-8, Rachel-4) acl:relcl(passage-2, curls-6) cc(curls-6, and-7) acl:relcl(passage-2, curves-8) conj:and(curls-6, curves-8) case(ferocity-12, With-10) amod(ferocity-12, satisfied-11) nmod:with(passage-2, ferocity-12) advmod(evokes-17, also-15) advmod(evokes-17, strongly-16) root(ROOT-0, evokes-17) det(imagery-19, an-18) dobj(evokes-17, imagery-19) case(cats-24, of-20) advmod(cats-24, sexually-21) amod(cats-24, menacing-22) amod(cats-24, big-23) nmod:of(imagery-19, cats-24) dobj(made-27, cats-24) ref(cats-24, which-25) nsubj(made-27, Eliot-26) acl:relcl(cats-24, made-27) advmod(own-30, especially-28) nmod:poss(own-30, his-29) nmod(made-27, own-30) cc(made-27, and-31) nsubj(became-35, which-32) advmod(became-35, perhaps-33) acl:relcl(cats-24, became-35) conj:and(made-27, became-35) advmod(definitive-37, most-36) xcomp(became-35, definitive-37) case(the-40, in-39) nmod:in(definitive-37, the-40) acl(the-40, couched-42) amod(jaguar-44, Brazilian-43) dobj(couched-42, jaguar-44) nsubjpass(outdone-48, who-46) auxpass(outdone-48, is-47) dep(couched-42, outdone-48) case(Grishkin-50, by-49) nmod:by(outdone-48, Grishkin-50) case(Whispers-53, in-51) nmod:in(outdone-48, Whispers-53) case(Immortality-55, of-54) nmod:of(Whispers-53, Immortality-55) advmod(poem-61, itself-58) det(poem-61, a-59) amod(poem-61, non-Symbolist-60) dobj(couched-42, poem-61) acl(poem-61, deriving-62) case(poem-65, from-63) det(poem-65, a-64) nmod:from(deriving-62, poem-65) case(Gautier-67, by-66) nmod:by(deriving-62, Gautier-67) advmod(deriving-62, also-69) amod(the-40, non-Symbolist-70) cc(non-Symbolist-70, and-71) advmod(hard-edged-73, very-72) amod(the-40, hard-edged-73) conj:and(non-Symbolist-70, hard-edged-73)  ",cats,24,"case(cats-24, of-20) advmod(cats-24, sexually-21) amod(cats-24, menacing-22) amod(cats-24, big-23) ref(cats-24, which-25) acl:relcl(cats-24, made-27) acl:relcl(cats-24, became-35) nmod:of(imagery-19, cats-24) dobj(made-27, cats-24) ",imagery of sexually menacing big cats which Eliot made especially his,NNS,[],made,VBD,object,,,made,make,[],"[('of', 'imagery')]",['of'],['imagery'],[],[],,[],[],[],[],"['menacing', 'big']",[],[],[],['of'],['sexually'],[],[],[],[],[],,,plural,linked,ambiguous,[],unknown,unknown
"He was but a straw deity , a sort of divine Cheshire cat , always liable to disappear with the advance of knowledge , always lurking over the next intellectual horizon .","He/PRP was/VBD but/CC a/DT straw/NN deity/NN ,/, a/DT sort/NN of/IN divine/JJ Cheshire/JJ cat/NN ,/, always/RB liable/JJ to/TO disappear/VB with/IN the/DT advance/NN of/IN knowledge/NN ,/, always/RB lurking/VBG over/IN the/DT next/JJ intellectual/JJ horizon/NN ./.","nsubj(lurking-26, He-1) cop(lurking-26, was-2) cc(deity-6, but-3) det(deity-6, a-4) compound(deity-6, straw-5) dep(lurking-26, deity-6) det(sort-9, a-8) appos(deity-6, sort-9) case(cat-13, of-10) amod(cat-13, divine-11) amod(cat-13, Cheshire-12) nmod:of(sort-9, cat-13) dep(liable-16, always-15) dep(cat-13, liable-16) mark(disappear-18, to-17) xcomp(liable-16, disappear-18) case(advance-21, with-19) det(advance-21, the-20) nmod:with(disappear-18, advance-21) case(knowledge-23, of-22) nmod:of(advance-21, knowledge-23) advmod(disappear-18, always-25) root(ROOT-0, lurking-26) case(horizon-31, over-27) det(horizon-31, the-28) amod(horizon-31, next-29) amod(horizon-31, intellectual-30) nmod:over(lurking-26, horizon-31)  ",cat,13,"case(cat-13, of-10) amod(cat-13, divine-11) amod(cat-13, Cheshire-12) dep(cat-13, liable-16) nmod:of(sort-9, cat-13) ","a sort of divine Cheshire cat , always liable to disappear",NN,[],,,,,,,,,"[('of', 'sort')]",['of'],['sort'],[],[],,[],[],[],[],"['divine', 'Cheshire']",[],[],[],['of'],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
A Cat Experiment <p> An experiment with cats sheds additional light on how the brain functions as a result of the influence of experience on the formation of synapses in the brain .,A/DT Cat/NNP Experiment/NNP <p>/VBP An/DT experiment/NN with/IN cats/NNS sheds/VBZ additional/JJ light/NN on/IN how/WRB the/DT brain/NN functions/VBD as/IN a/DT result/NN of/IN the/DT influence/NN of/IN experience/NN on/IN the/DT formation/NN of/IN synapses/NNS in/IN the/DT brain/NN ./.,"det(Experiment-3, A-1) compound(Experiment-3, Cat-2) nsubj(<p>-4, Experiment-3) root(ROOT-0, <p>-4) det(experiment-6, An-5) nsubj(sheds-9, experiment-6) case(cats-8, with-7) nmod:with(experiment-6, cats-8) ccomp(<p>-4, sheds-9) amod(light-11, additional-10) dobj(sheds-9, light-11) mark(functions-16, on-12) advmod(functions-16, how-13) det(brain-15, the-14) nsubj(functions-16, brain-15) advcl(sheds-9, functions-16) case(result-19, as-17) det(result-19, a-18) nmod:as(functions-16, result-19) case(influence-22, of-20) det(influence-22, the-21) nmod:of(result-19, influence-22) case(experience-24, of-23) nmod:of(influence-22, experience-24) case(formation-27, on-25) det(formation-27, the-26) nmod:on(functions-16, formation-27) case(synapses-29, of-28) nmod:of(formation-27, synapses-29) case(brain-32, in-30) det(brain-32, the-31) nmod:in(synapses-29, brain-32)  ",cats,8,"case(cats-8, with-7) nmod:with(experiment-6, cats-8) ",Experiment <p> An experiment with cats sheds additional light on how,NNS,[],,,,,,,,,"[('with', 'experiment')]",['with'],['experiment'],[],[],,[],[],[],[],[],[],[],[],['with'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"When put in normal environments , the cats were found not to have the normal neural apparatus to perceive the things that had been absent in their earlier environment .","When/WRB put/VBN in/IN normal/JJ environments/NNS ,/, the/DT cats/NNS were/VBD found/VBN not/RB to/TO have/VB the/DT normal/JJ neural/JJ apparatus/NN to/TO perceive/VB the/DT things/NNS that/WDT had/VBD been/VBN absent/JJ in/IN their/PRP$ earlier/JJR environment/NN ./.","advmod(put-2, When-1) advcl(found-10, put-2) case(environments-5, in-3) amod(environments-5, normal-4) nmod:in(put-2, environments-5) det(cats-8, the-7) nsubjpass(found-10, cats-8) nsubj(have-13, cats-8) auxpass(found-10, were-9) root(ROOT-0, found-10) neg(have-13, not-11) mark(have-13, to-12) xcomp(found-10, have-13) det(apparatus-17, the-14) amod(apparatus-17, normal-15) amod(apparatus-17, neural-16) dobj(have-13, apparatus-17) mark(perceive-19, to-18) acl(apparatus-17, perceive-19) det(things-21, the-20) dobj(perceive-19, things-21) nsubj(absent-25, things-21) ref(things-21, that-22) aux(absent-25, had-23) cop(absent-25, been-24) acl:relcl(things-21, absent-25) case(environment-29, in-26) nmod:poss(environment-29, their-27) amod(environment-29, earlier-28) nmod:in(absent-25, environment-29)  ",cats,8,"det(cats-8, the-7) nsubjpass(found-10, cats-8) nsubj(have-13, cats-8) ","in normal environments , the cats were found not to have",NNS,[],have,VB,subject,have,have,,,['not'],[],[],[],[],['the'],definite article,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,linked,ambiguous,[],unknown,verdical
"The cats raised with their eyes taped shut appeared to be unable to see at all , even though nothing was wrong with their eyes .","The/DT cats/NNS raised/VBN with/IN their/PRP$ eyes/NNS taped/VBD shut/VBN appeared/VBD to/TO be/VB unable/JJ to/TO see/VB at/IN all/DT ,/, even/RB though/IN nothing/NN was/VBD wrong/JJ with/IN their/PRP$ eyes/NNS ./.","det(cats-2, The-1) nsubj(taped-7, cats-2) acl(cats-2, raised-3) case(eyes-6, with-4) nmod:poss(eyes-6, their-5) nmod:with(raised-3, eyes-6) root(ROOT-0, taped-7) csubj(appeared-9, shut-8) ccomp(taped-7, appeared-9) mark(unable-12, to-10) cop(unable-12, be-11) xcomp(appeared-9, unable-12) mark(see-14, to-13) xcomp(unable-12, see-14) case(all-16, at-15) nmod:at(see-14, all-16) advmod(wrong-22, even-18) mark(wrong-22, though-19) nsubj(wrong-22, nothing-20) cop(wrong-22, was-21) advcl(see-14, wrong-22) case(eyes-25, with-23) nmod:poss(eyes-25, their-24) nmod:with(wrong-22, eyes-25)  ",cats,2,"det(cats-2, The-1) acl(cats-2, raised-3) nsubj(taped-7, cats-2) ",The cats raised with their eyes taped,NNS,[],taped,VBD,subject,taped,tap,,,[],[],[],[],[],['The'],other,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,linked,ambiguous,[],unknown,unknown
"5 <p> The quest for the True , the Good , and the Beautiful has thus given way to a "" value-free "" empiricism , one that calls to mind William James 's witticism that "" a Beethoven string-quartet is nothing more than a scraping of horses ' tails on cats ' bowels . ""","5/CD <p>/VBP The/DT quest/NN for/IN the/DT True/NNP ,/, the/DT Good/NNP ,/, and/CC the/DT Beautiful/NNP has/VBZ thus/RB given/VBN way/NN to/TO a/SYM ''/'' value-free/NN ''/'' empiricism/NN ,/, one/CD that/WDT calls/VBZ to/TO mind/VB William/NNP James/NNP 's/POS witticism/NN that/IN ''/'' a/DT Beethoven/NNP string-quartet/NN is/VBZ nothing/NN more/JJR than/IN a/DT scraping/NN of/IN horses/NNS '/POS tails/NNS on/IN cats/NNS '/POS bowels/NNS ./. ''/''","nsubj(<p>-2, 5-1) root(ROOT-0, <p>-2) det(quest-4, The-3) dobj(<p>-2, quest-4) case(True-7, for-5) det(True-7, the-6) nmod:for(quest-4, True-7) det(Good-10, the-9) appos(True-7, Good-10) cc(<p>-2, and-12) det(Beautiful-14, the-13) nsubj(given-17, Beautiful-14) aux(given-17, has-15) advmod(given-17, thus-16) conj:and(<p>-2, given-17) dobj(given-17, way-18) case(a-20, to-19) nmod:to(given-17, a-20) compound(empiricism-24, value-free-22) nsubj(scraping-45, empiricism-24) appos(empiricism-24, one-26) nsubj(calls-28, one-26) nsubj(mind-30, one-26) ref(one-26, that-27) acl:relcl(one-26, calls-28) mark(mind-30, to-29) xcomp(calls-28, mind-30) compound(James-32, William-31) nmod:poss(witticism-34, James-32) case(James-32, 's-33) dobj(mind-30, witticism-34) case(string-quartet-39, that-35) det(string-quartet-39, a-37) compound(string-quartet-39, Beethoven-38) nmod:that(mind-30, string-quartet-39) cop(scraping-45, is-40) advmod(scraping-45, nothing-41) advmod(scraping-45, more-42) mwe(more-42, than-43) advmod(scraping-45, a-44) acl:relcl(a-20, scraping-45) case(tails-49, of-46) nmod:poss(tails-49, horses-47) case(horses-47, '-48) nmod:of(scraping-45, tails-49) case(bowels-53, on-50) nmod:poss(bowels-53, cats-51) case(cats-51, '-52) nmod:on(tails-49, bowels-53)  ",cats,51,"case(cats-51, '-52) nmod:poss(bowels-53, cats-51) ","of horses ' tails on cats ' bowels . """,NNS,[],,,,,,,,,[],[],[],[],[],,[],[],[],[],[],['bowels'],[],[],[],[],[],[],[],[],[],,,plural,linked,,[],unknown,unknown
"If , for example , a cat belongs to the Lynx species , it can not belong to any other category of cat , just as circles and squares are mutually exclusive .","If/IN ,/, for/IN example/NN ,/, a/DT cat/NN belongs/VBZ to/TO the/DT Lynx/NNP species/NN ,/, it/PRP can/MD not/RB belong/VB to/TO any/DT other/JJ category/NN of/IN cat/NN ,/, just/RB as/IN circles/NNS and/CC squares/NNS are/VBP mutually/RB exclusive/JJ ./.","mark(belongs-8, If-1) case(example-4, for-3) nmod:for(belongs-8, example-4) det(cat-7, a-6) nsubj(belongs-8, cat-7) advcl(belong-17, belongs-8) case(species-12, to-9) det(species-12, the-10) compound(species-12, Lynx-11) nmod:to(belongs-8, species-12) nsubj(belong-17, it-14) aux(belong-17, can-15) neg(belong-17, not-16) root(ROOT-0, belong-17) case(category-21, to-18) det(category-21, any-19) amod(category-21, other-20) nmod:to(belong-17, category-21) case(cat-23, of-22) nmod:of(category-21, cat-23) advmod(exclusive-32, just-25) mark(exclusive-32, as-26) nsubj(exclusive-32, circles-27) cc(circles-27, and-28) conj:and(circles-27, squares-29) nsubj(exclusive-32, squares-29) cop(exclusive-32, are-30) advmod(exclusive-32, mutually-31) advcl(belong-17, exclusive-32)  ",cat,7,"det(cat-7, a-6) nsubj(belongs-8, cat-7) ",", for example , a cat belongs to the Lynx species",NN,[],belongs,VBZ,subject,belongs,belong,,,[],[],[],[],[],['a'],indefinite article,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],a,unit,singular,linked,singular,['A+N'],countable,unknown
"If , for example , a cat belongs to the Lynx species , it can not belong to any other category of cat , just as circles and squares are mutually exclusive .","If/IN ,/, for/IN example/NN ,/, a/DT cat/NN belongs/VBZ to/TO the/DT Lynx/NNP species/NN ,/, it/PRP can/MD not/RB belong/VB to/TO any/DT other/JJ category/NN of/IN cat/NN ,/, just/RB as/IN circles/NNS and/CC squares/NNS are/VBP mutually/RB exclusive/JJ ./.","mark(belongs-8, If-1) case(example-4, for-3) nmod:for(belongs-8, example-4) det(cat-7, a-6) nsubj(belongs-8, cat-7) advcl(belong-17, belongs-8) case(species-12, to-9) det(species-12, the-10) compound(species-12, Lynx-11) nmod:to(belongs-8, species-12) nsubj(belong-17, it-14) aux(belong-17, can-15) neg(belong-17, not-16) root(ROOT-0, belong-17) case(category-21, to-18) det(category-21, any-19) amod(category-21, other-20) nmod:to(belong-17, category-21) case(cat-23, of-22) nmod:of(category-21, cat-23) advmod(exclusive-32, just-25) mark(exclusive-32, as-26) nsubj(exclusive-32, circles-27) cc(circles-27, and-28) conj:and(circles-27, squares-29) nsubj(exclusive-32, squares-29) cop(exclusive-32, are-30) advmod(exclusive-32, mutually-31) advcl(belong-17, exclusive-32)  ",cat,23,"case(cat-23, of-22) nmod:of(category-21, cat-23) ","to any other category of cat , just as circles and",NN,[],,,,,,,,,"[('of', 'category')]",['of'],['category'],[],[],,[],[],[],[],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
Initial factor analyses of the TRAAM cats yielded N four-factor solution that accounted for 68.6% of the variance in the teacher ratings .,Initial/JJ factor/NN analyses/NNS of/IN the/DT TRAAM/NNP cats/NNS yielded/VBD N/NNP four-factor/JJ solution/NN that/WDT accounted/VBD for/IN 68.6/CD %/NN of/IN the/DT variance/NN in/IN the/DT teacher/NN ratings/NNS ./.,"amod(analyses-3, Initial-1) compound(analyses-3, factor-2) nsubj(yielded-8, analyses-3) case(cats-7, of-4) det(cats-7, the-5) compound(cats-7, TRAAM-6) nmod:of(analyses-3, cats-7) root(ROOT-0, yielded-8) compound(solution-11, N-9) amod(solution-11, four-factor-10) dobj(yielded-8, solution-11) nsubj(accounted-13, solution-11) ref(solution-11, that-12) acl:relcl(solution-11, accounted-13) case(%-16, for-14) nummod(%-16, 68.6-15) nmod:for(accounted-13, %-16) case(variance-19, of-17) det(variance-19, the-18) nmod:of(%-16, variance-19) case(ratings-23, in-20) det(ratings-23, the-21) compound(ratings-23, teacher-22) nmod:in(accounted-13, ratings-23)  ",cats,7,"case(cats-7, of-4) det(cats-7, the-5) compound(cats-7, TRAAM-6) nmod:of(analyses-3, cats-7) ",factor analyses of the TRAAM cats yielded N four-factor solution that,NNS,[],,,,,,,,,"[('of', 'analyses')]",['of'],['analyses'],[],['the'],definite article,[],[],[],['TRAAM'],[],[],[],[],['of'],[],[],[],[],[],[],,,plural,linked,,[],unknown,unknown
"118 The final blow to Kassite rule occurred in cat 1157 , when Shutruk-Nahhunte attacked Babylon and plundered the city .","118/VBG The/DT final/JJ blow/NN to/TO Kassite/NNP rule/NN occurred/VBD in/IN cat/NN 1157/CD ,/, when/WRB Shutruk-Nahhunte/NNP attacked/VBD Babylon/NNP and/CC plundered/VBD the/DT city/NN ./.","root(ROOT-0, 118-1) det(blow-4, The-2) amod(blow-4, final-3) dobj(118-1, blow-4) case(rule-7, to-5) compound(rule-7, Kassite-6) nmod:to(118-1, rule-7) dep(118-1, occurred-8) case(cat-10, in-9) nmod:in(occurred-8, cat-10) nsubj(118-1, 1157-11) advmod(attacked-15, when-13) nsubj(attacked-15, Shutruk-Nahhunte-14) nsubj(plundered-18, Shutruk-Nahhunte-14) acl:relcl(1157-11, attacked-15) dobj(attacked-15, Babylon-16) cc(attacked-15, and-17) acl:relcl(1157-11, plundered-18) conj:and(attacked-15, plundered-18) det(city-20, the-19) dobj(plundered-18, city-20)  ",cat,10,"case(cat-10, in-9) nmod:in(occurred-8, cat-10) ","to Kassite rule occurred in cat 1157 , when Shutruk-Nahhunte attacked",NN,[],,,,,,,,,"[('in', 'occurred')]",['in'],['occurred'],[],[],,[],[],[],[],[],[],[],[],['in'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Despite these problems , it is possible to argue that Durliat 's date of cat 1100 is plausible for the north transept frescoes .","Despite/IN these/DT problems/NNS ,/, it/PRP is/VBZ possible/JJ to/TO argue/VB that/IN Durliat/NNP 's/POS date/NN of/IN cat/NN 1100/CD is/VBZ plausible/JJ for/IN the/DT north/NN transept/NN frescoes/NN ./.","case(problems-3, Despite-1) det(problems-3, these-2) nmod:despite(possible-7, problems-3) nsubj(possible-7, it-5) nsubj(argue-9, it-5) cop(possible-7, is-6) root(ROOT-0, possible-7) mark(argue-9, to-8) xcomp(possible-7, argue-9) mark(plausible-18, that-10) nmod:poss(date-13, Durliat-11) case(Durliat-11, 's-12) nsubj(plausible-18, date-13) case(cat-15, of-14) nmod:of(date-13, cat-15) nummod(cat-15, 1100-16) cop(plausible-18, is-17) ccomp(argue-9, plausible-18) case(frescoes-23, for-19) det(frescoes-23, the-20) compound(frescoes-23, north-21) compound(frescoes-23, transept-22) nmod:for(plausible-18, frescoes-23)  ",cat,15,"case(cat-15, of-14) nummod(cat-15, 1100-16) nmod:of(date-13, cat-15) ",that Durliat 's date of cat 1100 is plausible for the,NN,[],,,,,,,,,"[('of', 'date')]",['of'],['date'],[],[],,[],[],[],[],[],[],[],['1100'],['of'],[],[],[],[],[],[],1100,other,singular,linked,,['O-DEN'],countable,unknown
"15 ) , dated cat 1089 , reveal similar attenuated , frontal figures , with similar drapery patterns , especially the loops indicating the knee and the curving lines below .","15/CD -RRB-/-RRB- ,/, dated/VBZ cat/NN 1089/CD ,/, reveal/IN similar/JJ attenuated/NN ,/, frontal/VBD figures/NNS ,/, with/IN similar/JJ drapery/NN patterns/NNS ,/, especially/RB the/DT loops/NNS indicating/VBG the/DT knee/NN and/CC the/DT curving/JJ lines/NNS below/RB ./.","nmod:reveal(frontal-12, 15-1) acl:relcl(15-1, dated-4) dobj(dated-4, cat-5) nummod(cat-5, 1089-6) case(15-1, reveal-8) amod(attenuated-10, similar-9) dep(15-1, attenuated-10) root(ROOT-0, frontal-12) dobj(frontal-12, figures-13) case(patterns-18, with-15) amod(patterns-18, similar-16) compound(patterns-18, drapery-17) nmod:with(figures-13, patterns-18) advmod(loops-22, especially-20) det(loops-22, the-21) appos(patterns-18, loops-22) acl(loops-22, indicating-23) det(knee-25, the-24) dobj(indicating-23, knee-25) cc(frontal-12, and-26) det(lines-29, the-27) amod(lines-29, curving-28) conj:and(frontal-12, lines-29) advmod(lines-29, below-30)  ",cat,5,"nummod(cat-5, 1089-6) dobj(dated-4, cat-5) ","15 ) , dated cat 1089 , reveal similar attenuated",NN,[],dated,VBZ,object,,,dated,date,[],[],[],[],[],[],,[],[],[],[],[],[],[],['1089'],[],[],[],[],[],[],[],1089,other,singular,linked,singular,['O-DEN'],countable,unknown
"45 It is thus conceivable that both cycles were produced about the same time , and Durliat 's date of cat 1100 seems at least plausible .","45/CD It/PRP is/VBZ thus/RB conceivable/JJ that/IN both/DT cycles/NNS were/VBD produced/VBN about/IN the/DT same/JJ time/NN ,/, and/CC Durliat/NNP 's/POS date/NN of/IN cat/NN 1100/CD seems/VBZ at/IN least/JJS plausible/JJ ./.","mark(produced-10, 45-1) nsubj(seems-23, 45-1) nsubj(conceivable-5, It-2) cop(conceivable-5, is-3) advmod(conceivable-5, thus-4) acl:relcl(45-1, conceivable-5) ref(45-1, that-6) det(cycles-8, both-7) nsubjpass(produced-10, cycles-8) auxpass(produced-10, were-9) ccomp(conceivable-5, produced-10) case(time-14, about-11) det(time-14, the-12) amod(time-14, same-13) nmod:about(produced-10, time-14) cc(time-14, and-16) nmod:poss(date-19, Durliat-17) case(Durliat-17, 's-18) nmod:about(produced-10, date-19) conj:and(time-14, date-19) case(cat-21, of-20) nmod:of(date-19, cat-21) nummod(cat-21, 1100-22) root(ROOT-0, seems-23) case(least-25, at-24) advmod(plausible-26, least-25) xcomp(seems-23, plausible-26)  ",cat,21,"case(cat-21, of-20) nummod(cat-21, 1100-22) nmod:of(date-19, cat-21) ",and Durliat 's date of cat 1100 seems at least plausible,NN,[],,,,,,,,,"[('of', 'date')]",['of'],['date'],[],[],,[],[],[],[],[],[],[],['1100'],['of'],[],[],[],[],[],[],1100,other,singular,linked,,['O-DEN'],countable,unknown
3 ( 1 ) The Panther Woman ( chapters 1 and 2 ) : A conventional horror/suspense film detailing the story of a woman descended from a mixed race of cat people .,3/LS -LRB-/-LRB- 1/LS -RRB-/-RRB- The/DT Panther/NN Woman/VBZ -LRB-/-LRB- chapters/NNP 1/CD and/CC 2/CD -RRB-/-RRB- :/: A/DT conventional/JJ horror/suspense/NN film/NN detailing/VBG the/DT story/NN of/IN a/DT woman/NN descended/VBD from/IN a/DT mixed/VBN race/NN of/IN cat/NN people/NNS ./.,"dep(Woman-7, 3-1) dep(Woman-7, 1-3) det(Panther-6, The-5) nsubj(Woman-7, Panther-6) root(ROOT-0, Woman-7) dep(Woman-7, chapters-9) nummod(chapters-9, 1-10) cc(1-10, and-11) nummod(chapters-9, 2-12) conj:and(1-10, 2-12) det(film-18, A-15) amod(film-18, conventional-16) compound(film-18, horror/suspense-17) nsubj(descended-25, film-18) acl(film-18, detailing-19) det(story-21, the-20) dobj(detailing-19, story-21) case(woman-24, of-22) det(woman-24, a-23) nmod:of(story-21, woman-24) parataxis(Woman-7, descended-25) case(race-29, from-26) det(race-29, a-27) amod(race-29, mixed-28) nmod:from(descended-25, race-29) case(people-32, of-30) compound(people-32, cat-31) nmod:of(race-29, people-32)  ",cat,31,"compound(people-32, cat-31) ",from a mixed race of cat people .,NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['people'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"In these stories , which are studded with pedestrian events , these symbolic words seem playful even , allowing very little depth , their possible religious transcendences muted , discontinuous , subdued , and somewhat arbitrary , both there and not there like the smile of the Cheshire cat .","In/IN these/DT stories/NNS ,/, which/WDT are/VBP studded/VBN with/IN pedestrian/JJ events/NNS ,/, these/DT symbolic/JJ words/NNS seem/VBP playful/NN even/RB ,/, allowing/VBG very/RB little/JJ depth/NN ,/, their/PRP$ possible/JJ religious/JJ transcendences/NNS muted/NN ,/, discontinuous/NNS ,/, subdued/VBN ,/, and/CC somewhat/RB arbitrary/JJ ,/, both/CC there/RB and/CC not/RB there/RB like/IN the/DT smile/NN of/IN the/DT Cheshire/NNP cat/NN ./.","case(stories-3, In-1) det(stories-3, these-2) nsubjpass(studded-7, stories-3) nmod:in(seem-15, stories-3) ref(stories-3, which-5) auxpass(studded-7, are-6) acl:relcl(stories-3, studded-7) case(events-10, with-8) amod(events-10, pedestrian-9) nmod:with(studded-7, events-10) det(words-14, these-12) amod(words-14, symbolic-13) nsubj(seem-15, words-14) root(ROOT-0, seem-15) xcomp(seem-15, playful-16) advmod(seem-15, even-17) advcl(seem-15, allowing-19) advmod(little-21, very-20) amod(depth-22, little-21) dobj(allowing-19, depth-22) nmod:poss(muted-28, their-24) amod(muted-28, possible-25) amod(muted-28, religious-26) compound(muted-28, transcendences-27) appos(depth-22, muted-28) appos(muted-28, discontinuous-30) acl(muted-28, subdued-32) cc(muted-28, and-34) advmod(arbitrary-36, somewhat-35) appos(depth-22, arbitrary-36) conj:and(muted-28, arbitrary-36) cc:preconj(there-39, both-38) advmod(allowing-19, there-39) cc(there-39, and-40) advmod(allowing-19, not-41) conj:and(there-39, not-41) nmod:tmod(allowing-19, there-42) case(smile-45, like-43) det(smile-45, the-44) nmod:like(allowing-19, smile-45) case(cat-49, of-46) det(cat-49, the-47) compound(cat-49, Cheshire-48) nmod:of(smile-45, cat-49)  ",cat,49,"case(cat-49, of-46) det(cat-49, the-47) compound(cat-49, Cheshire-48) nmod:of(smile-45, cat-49) ",the smile of the Cheshire cat .,NN,[],,,,,,,,,"[('of', 'smile')]",['of'],['smile'],[],['the'],definite article,[],[],[],['Cheshire'],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
