sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
<p> PHOTO : Forewings that differ in length by just a fraction of a millimeter may keep a male scorpion fly from finding a mate .,<p>/NNP PHOTO/NNP :/: Forewings/NNP that/WDT differ/VBP in/IN length/NN by/IN just/RB a/DT fraction/NN of/IN a/DT millimeter/NN may/MD keep/VB a/DT male/JJ scorpion/NN fly/NN from/IN finding/VBG a/DT mate/NN ./.," compound(PHOTO-2, <p>-1) nsubj(keep-17, PHOTO-2) dep(PHOTO-2, Forewings-4) nsubj(differ-6, Forewings-4) ref(Forewings-4, that-5) acl:relcl(Forewings-4, differ-6) case(length-8, in-7) nmod:in(differ-6, length-8) case(fraction-12, by-9) advmod(fraction-12, just-10) det(fraction-12, a-11) nmod:by(differ-6, fraction-12) case(millimeter-15, of-13) det(millimeter-15, a-14) nmod:of(fraction-12, millimeter-15) aux(keep-17, may-16) root(ROOT-0, keep-17) det(fly-21, a-18) amod(fly-21, male-19) compound(fly-21, scorpion-20) dobj(keep-17, fly-21) mark(finding-23, from-22) advcl(keep-17, finding-23) det(mate-25, a-24) dobj(finding-23, mate-25)  ",fly,21,"det(fly-21, a-18) amod(fly-21, male-19) compound(fly-21, scorpion-20) dobj(keep-17, fly-21) ",may keep a male scorpion fly from finding a mate .,NN,[],keep,VB,object,[],[],[],[],[],['a'],[],['scorpion'],['male'],[],[],[],[],[],[],[],[],a,unit,singular,ambiguous,A+N,countable,unknown
"Barnes was cited for "" his achievements as an undergraduate student at Reed College , particularly his research on the dynamics of fly lines and other classical strings , "" which grew out of his interest in fly-fishing .","Barnes/NNP was/VBD cited/VBN for/IN ''/'' his/PRP$ achievements/NNS as/IN an/DT undergraduate/JJ student/NN at/IN Reed/NNP College/NNP ,/, particularly/RB his/PRP$ research/NN on/IN the/DT dynamics/NNS of/IN fly/NN lines/NNS and/CC other/JJ classical/JJ strings/NNS ,/, ''/'' which/WDT grew/VBD out/RP of/IN his/PRP$ interest/NN in/IN fly-fishing/VBG ./."," nsubjpass(cited-3, Barnes-1) auxpass(cited-3, was-2) root(ROOT-0, cited-3) case(achievements-7, for-4) nmod:poss(achievements-7, his-6) nmod:for(cited-3, achievements-7) case(student-11, as-8) det(student-11, an-9) amod(student-11, undergraduate-10) nmod:as(cited-3, student-11) nsubj(grew-32, student-11) case(College-14, at-12) compound(College-14, Reed-13) nmod:at(student-11, College-14) advmod(research-18, particularly-16) nmod:poss(research-18, his-17) appos(student-11, research-18) case(dynamics-21, on-19) det(dynamics-21, the-20) nmod:on(research-18, dynamics-21) case(lines-24, of-22) compound(lines-24, fly-23) nmod:of(dynamics-21, lines-24) cc(lines-24, and-25) amod(strings-28, other-26) amod(strings-28, classical-27) nmod:of(dynamics-21, strings-28) conj:and(lines-24, strings-28) ref(student-11, which-31) acl:relcl(student-11, grew-32) compound:prt(grew-32, out-33) case(interest-36, of-34) nmod:poss(interest-36, his-35) nmod:of(grew-32, interest-36) mark(fly-fishing-38, in-37) advcl(grew-32, fly-fishing-38)  ",fly,23,"compound(lines-24, fly-23) ",research on the dynamics of fly lines and other classical strings,NN,[],,,,,[],[],[],[],[],[],['lines'],[],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
"28 <p> In August 1992 , a few months after Yitzchak Rabin became Prime Minister , Israeli fears of renewed Iraqi attacks increased again in the wake of clashes over UN inspectors and the imposition of the "" no fly zone "" in southern Iraq .","28/CD <p>/NN In/IN August/NNP 1992/CD ,/, a/DT few/JJ months/NNS after/IN Yitzchak/NNP Rabin/NNP became/VBD Prime/NNP Minister/NNP ,/, Israeli/JJ fears/NNS of/IN renewed/VBN Iraqi/JJ attacks/NNS increased/VBD again/RB in/IN the/DT wake/NN of/IN clashes/NNS over/IN UN/NNP inspectors/NNS and/CC the/DT imposition/NN of/IN the/DT ''/'' no/DT fly/NN zone/NN ''/'' in/IN southern/JJ Iraq/NNP ./."," nummod(<p>-2, 28-1) nmod:in(increased-23, <p>-2) case(<p>-2, In-3) dep(<p>-2, August-4) nummod(August-4, 1992-5) det(months-9, a-7) amod(months-9, few-8) nsubj(increased-23, months-9) mark(became-13, after-10) compound(Rabin-12, Yitzchak-11) nsubj(became-13, Rabin-12) acl(months-9, became-13) compound(Minister-15, Prime-14) xcomp(became-13, Minister-15) amod(fears-18, Israeli-17) appos(Minister-15, fears-18) case(attacks-22, of-19) amod(attacks-22, renewed-20) amod(attacks-22, Iraqi-21) nmod:of(fears-18, attacks-22) root(ROOT-0, increased-23) advmod(increased-23, again-24) case(wake-27, in-25) det(wake-27, the-26) nmod:in(again-24, wake-27) case(clashes-29, of-28) nmod:of(wake-27, clashes-29) case(inspectors-32, over-30) compound(inspectors-32, UN-31) nmod:over(clashes-29, inspectors-32) cc(inspectors-32, and-33) det(imposition-35, the-34) nmod:over(clashes-29, imposition-35) conj:and(inspectors-32, imposition-35) case(the-37, of-36) nmod:of(imposition-35, the-37) neg(zone-41, no-39) compound(zone-41, fly-40) dobj(increased-23, zone-41) case(Iraq-45, in-43) amod(Iraq-45, southern-44) nmod:in(increased-23, Iraq-45)  ",fly,40,"compound(zone-41, fly-40) ","imposition of the "" no fly zone "" in southern Iraq",NN,[],increased,VBD,object,[],[],[],[],[],[],[],['zone'],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"Grabbing only my fly rod and tackle box , I go off fishing with my kids .","Grabbing/VBG only/RB my/PRP$ fly/NN rod/NN and/CC tackle/NN box/NN ,/, I/PRP go/VBP off/RP fishing/NN with/IN my/PRP$ kids/NNS ./."," advcl(go-11, Grabbing-1) advmod(Grabbing-1, only-2) nmod:poss(rod-5, my-3) compound(rod-5, fly-4) dobj(Grabbing-1, rod-5) cc(rod-5, and-6) compound(box-8, tackle-7) dobj(Grabbing-1, box-8) conj:and(rod-5, box-8) nsubj(go-11, I-10) root(ROOT-0, go-11) compound:prt(go-11, off-12) dobj(go-11, fishing-13) case(kids-16, with-14) nmod:poss(kids-16, my-15) nmod:with(fishing-13, kids-16)  ",fly,4,"compound(rod-5, fly-4) ","Grabbing only my fly rod and tackle box ,",NN,[],Grabbing,VBG,object,[],[],[],[],[],[],[],['rod'],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"The first is that in larger nests , silk is not equal to the mechanical demands , but as fly fishers old enough to remember using silk fishing line will confirm , this insect silk can take a lot of stress .","The/DT first/JJ is/VBZ that/IN in/IN larger/JJR nests/NNS ,/, silk/NN is/VBZ not/RB equal/JJ to/TO the/DT mechanical/JJ demands/NNS ,/, but/CC as/IN fly/NN fishers/NNS old/JJ enough/RB to/TO remember/VB using/VBG silk/JJ fishing/NN line/NN will/MD confirm/VB ,/, this/DT insect/NN silk/NN can/MD take/VB a/DT lot/NN of/IN stress/NN ./."," det(first-2, The-1) nsubj(is-3, first-2) root(ROOT-0, is-3) mark(equal-12, that-4) case(nests-7, in-5) amod(nests-7, larger-6) nmod:in(equal-12, nests-7) nsubj(equal-12, silk-9) cop(equal-12, is-10) neg(equal-12, not-11) ccomp(is-3, equal-12) case(demands-16, to-13) det(demands-16, the-14) amod(demands-16, mechanical-15) nmod:to(equal-12, demands-16) cc(is-3, but-18) mark(confirm-31, as-19) compound(fishers-21, fly-20) nsubj(confirm-31, fishers-21) amod(fishers-21, old-22) advmod(old-22, enough-23) mark(remember-25, to-24) xcomp(old-22, remember-25) xcomp(remember-25, using-26) amod(line-29, silk-27) compound(line-29, fishing-28) dobj(using-26, line-29) aux(confirm-31, will-30) advcl(take-37, confirm-31) det(silk-35, this-33) compound(silk-35, insect-34) nsubj(take-37, silk-35) aux(take-37, can-36) conj:but(is-3, take-37) det(lot-39, a-38) dobj(take-37, lot-39) case(stress-41, of-40) nmod:of(lot-39, stress-41)  ",fly,20,"compound(fishers-21, fly-20) ","mechanical demands , but as fly fishers old enough to remember",NN,[],confirm,VB,subject,[],[],[],[],[],[],[],['fishers'],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"The researchers are studying several of the 14 different phorid fly species of the genus Pseudacteon , which specialize in parasitism to S. invicta and related species in Brazil .","The/DT researchers/NNS are/VBP studying/VBG several/JJ of/IN the/DT 14/CD different/JJ phorid/NN fly/NN species/NNS of/IN the/DT genus/JJ Pseudacteon/NN ,/, which/WDT specialize/VBP in/IN parasitism/NN to/TO S./NNP invicta/NN and/CC related/VBN species/NNS in/IN Brazil/NNP ./."," det(researchers-2, The-1) nsubj(studying-4, researchers-2) aux(studying-4, are-3) root(ROOT-0, studying-4) dobj(studying-4, several-5) case(species-12, of-6) det(species-12, the-7) nummod(species-12, 14-8) amod(species-12, different-9) compound(species-12, phorid-10) compound(species-12, fly-11) nmod:of(several-5, species-12) case(Pseudacteon-16, of-13) det(Pseudacteon-16, the-14) amod(Pseudacteon-16, genus-15) nmod:of(species-12, Pseudacteon-16) nsubj(specialize-19, Pseudacteon-16) ref(Pseudacteon-16, which-18) acl:relcl(Pseudacteon-16, specialize-19) case(parasitism-21, in-20) nmod:in(specialize-19, parasitism-21) case(invicta-24, to-22) compound(invicta-24, S.-23) nmod:to(specialize-19, invicta-24) cc(invicta-24, and-25) amod(species-27, related-26) nmod:to(specialize-19, species-27) conj:and(invicta-24, species-27) case(Brazil-29, in-28) nmod:in(invicta-24, Brazil-29)  ",fly,11,"compound(species-12, fly-11) ",of the 14 different phorid fly species of the genus Pseudacteon,NN,[],,,,,[],[],[],[],[],[],['species'],[],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
"The fly then pupates in the ant 's head capsule , which is lying in the bottom of the nest among the other ants .","The/DT fly/NN then/RB pupates/VBZ in/IN the/DT ant/NN 's/POS head/NN capsule/NN ,/, which/WDT is/VBZ lying/VBG in/IN the/DT bottom/NN of/IN the/DT nest/NN among/IN the/DT other/JJ ants/NNS ./."," det(fly-2, The-1) nsubj(pupates-4, fly-2) advmod(pupates-4, then-3) root(ROOT-0, pupates-4) case(capsule-10, in-5) det(ant-7, the-6) nmod:poss(capsule-10, ant-7) case(ant-7, 's-8) compound(capsule-10, head-9) nmod:in(pupates-4, capsule-10) nsubj(lying-14, capsule-10) ref(capsule-10, which-12) aux(lying-14, is-13) acl:relcl(capsule-10, lying-14) case(bottom-17, in-15) det(bottom-17, the-16) nmod:in(lying-14, bottom-17) case(nest-20, of-18) det(nest-20, the-19) nmod:of(bottom-17, nest-20) case(ants-24, among-21) det(ants-24, the-22) amod(ants-24, other-23) nmod:among(nest-20, ants-24)  ",fly,2,"det(fly-2, The-1) nsubj(pupates-4, fly-2) ",The fly then pupates in the ant,NN,[],pupates,VBZ,subject,[],[],[],[],[],['The'],[],[],[],[],[],[],[],[],[],[],[],,,singular,singular,,unknown,unknown
<p> Feener says there is no danger that releasing the imported phorid fly will cause problems for native ant species .,<p>/NNP Feener/NNP says/VBZ there/EX is/VBZ no/DT danger/NN that/IN releasing/VBG the/DT imported/VBN phorid/JJ fly/NN will/MD cause/VB problems/NNS for/IN native/JJ ant/NN species/NNS ./.," compound(Feener-2, <p>-1) nsubj(says-3, Feener-2) root(ROOT-0, says-3) expl(is-5, there-4) ccomp(says-3, is-5) neg(danger-7, no-6) nsubj(is-5, danger-7) mark(cause-15, that-8) csubj(cause-15, releasing-9) det(fly-13, the-10) amod(fly-13, imported-11) amod(fly-13, phorid-12) dobj(releasing-9, fly-13) aux(cause-15, will-14) ccomp(is-5, cause-15) dobj(cause-15, problems-16) case(species-20, for-17) amod(species-20, native-18) compound(species-20, ant-19) nmod:for(problems-16, species-20)  ",fly,13,"det(fly-13, the-10) amod(fly-13, imported-11) amod(fly-13, phorid-12) dobj(releasing-9, fly-13) ",that releasing the imported phorid fly will cause problems for native,NN,[],releasing,VBG,object,[],[],[],[],[],['the'],[],[],"['imported', 'phorid']",[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
The fly would be released on the edge of the imported ant 's range in Texas to evaluate the effectiveness of phorids in shifting populations back towards native ants .,The/DT fly/NN would/MD be/VB released/VBN on/IN the/DT edge/NN of/IN the/DT imported/VBN ant/NN 's/POS range/NN in/IN Texas/NNP to/TO evaluate/VB the/DT effectiveness/NN of/IN phorids/NNS in/IN shifting/VBG populations/NNS back/RP towards/IN native/JJ ants/NNS ./.," det(fly-2, The-1) nsubjpass(released-5, fly-2) nsubj(evaluate-18, fly-2) aux(released-5, would-3) auxpass(released-5, be-4) root(ROOT-0, released-5) case(edge-8, on-6) det(edge-8, the-7) nmod:on(released-5, edge-8) case(range-14, of-9) det(ant-12, the-10) amod(ant-12, imported-11) nmod:poss(range-14, ant-12) case(ant-12, 's-13) nmod:of(edge-8, range-14) case(Texas-16, in-15) nmod:in(range-14, Texas-16) mark(evaluate-18, to-17) xcomp(released-5, evaluate-18) det(effectiveness-20, the-19) dobj(evaluate-18, effectiveness-20) case(phorids-22, of-21) nmod:of(effectiveness-20, phorids-22) mark(shifting-24, in-23) advcl(evaluate-18, shifting-24) dobj(shifting-24, populations-25) compound:prt(shifting-24, back-26) case(ants-29, towards-27) amod(ants-29, native-28) nmod:towards(shifting-24, ants-29)  ",fly,2,"det(fly-2, The-1) nsubjpass(released-5, fly-2) nsubj(evaluate-18, fly-2) ",The fly would be released on the,NN,[],evaluate,VB,subject,[],[],[],[],[],['The'],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"If the imported phorid fly does switch over to native species of Solenopsis , the natives could be much more vulnerable to harm than is the imported fire ant because they have not evolved defenses against the flies , he says .","If/IN the/DT imported/VBN phorid/JJ fly/NN does/VBZ switch/VB over/RP to/TO native/JJ species/NNS of/IN Solenopsis/NNP ,/, the/DT natives/NNS could/MD be/VB much/RB more/RBR vulnerable/JJ to/TO harm/VB than/IN is/VBZ the/DT imported/VBN fire/NN ant/NN because/IN they/PRP have/VBP not/RB evolved/VBN defenses/NNS against/IN the/DT flies/NNS ,/, he/PRP says/VBZ ./."," mark(switch-7, If-1) det(fly-5, the-2) amod(fly-5, imported-3) amod(fly-5, phorid-4) nsubj(switch-7, fly-5) aux(switch-7, does-6) advcl(vulnerable-21, switch-7) compound:prt(switch-7, over-8) case(species-11, to-9) amod(species-11, native-10) nmod:to(switch-7, species-11) case(Solenopsis-13, of-12) nmod:of(species-11, Solenopsis-13) det(natives-16, the-15) nsubj(vulnerable-21, natives-16) nsubj(harm-23, natives-16) aux(vulnerable-21, could-17) cop(vulnerable-21, be-18) advmod(vulnerable-21, much-19) advmod(vulnerable-21, more-20) ccomp(says-41, vulnerable-21) mark(harm-23, to-22) xcomp(vulnerable-21, harm-23) mark(ant-29, than-24) cop(ant-29, is-25) det(ant-29, the-26) amod(ant-29, imported-27) compound(ant-29, fire-28) advcl(harm-23, ant-29) mark(evolved-34, because-30) nsubj(evolved-34, they-31) aux(evolved-34, have-32) neg(evolved-34, not-33) advcl(vulnerable-21, evolved-34) dobj(evolved-34, defenses-35) case(flies-38, against-36) det(flies-38, the-37) nmod:against(defenses-35, flies-38) nsubj(says-41, he-40) root(ROOT-0, says-41)  ",fly,5,"det(fly-5, the-2) amod(fly-5, imported-3) amod(fly-5, phorid-4) nsubj(switch-7, fly-5) ",If the imported phorid fly does switch over to native,NN,[],switch,VB,subject,[],[],[],[],[],['the'],[],[],"['imported', 'phorid']",[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"If the imported phorid fly does switch over to native species of Solenopsis , the natives could be much more vulnerable to harm than is the imported fire ant because they have not evolved defenses against the flies , he says .","If/IN the/DT imported/VBN phorid/JJ fly/NN does/VBZ switch/VB over/RP to/TO native/JJ species/NNS of/IN Solenopsis/NNP ,/, the/DT natives/NNS could/MD be/VB much/RB more/RBR vulnerable/JJ to/TO harm/VB than/IN is/VBZ the/DT imported/VBN fire/NN ant/NN because/IN they/PRP have/VBP not/RB evolved/VBN defenses/NNS against/IN the/DT flies/NNS ,/, he/PRP says/VBZ ./."," mark(switch-7, If-1) det(fly-5, the-2) amod(fly-5, imported-3) amod(fly-5, phorid-4) nsubj(switch-7, fly-5) aux(switch-7, does-6) advcl(vulnerable-21, switch-7) compound:prt(switch-7, over-8) case(species-11, to-9) amod(species-11, native-10) nmod:to(switch-7, species-11) case(Solenopsis-13, of-12) nmod:of(species-11, Solenopsis-13) det(natives-16, the-15) nsubj(vulnerable-21, natives-16) nsubj(harm-23, natives-16) aux(vulnerable-21, could-17) cop(vulnerable-21, be-18) advmod(vulnerable-21, much-19) advmod(vulnerable-21, more-20) ccomp(says-41, vulnerable-21) mark(harm-23, to-22) xcomp(vulnerable-21, harm-23) mark(ant-29, than-24) cop(ant-29, is-25) det(ant-29, the-26) amod(ant-29, imported-27) compound(ant-29, fire-28) advcl(harm-23, ant-29) mark(evolved-34, because-30) nsubj(evolved-34, they-31) aux(evolved-34, have-32) neg(evolved-34, not-33) advcl(vulnerable-21, evolved-34) dobj(evolved-34, defenses-35) case(flies-38, against-36) det(flies-38, the-37) nmod:against(defenses-35, flies-38) nsubj(says-41, he-40) root(ROOT-0, says-41)  ",flies,38,"case(flies-38, against-36) det(flies-38, the-37) nmod:against(defenses-35, flies-38) ","not evolved defenses against the flies , he says .",NNS,[],,,,,"[('against', 'defenses')]",['against'],['defenses'],[],['the'],[],[],[],[],[],[],['against'],[],[],[],[],,,plural,,,unknown,unknown
Other strategies for control <p> Those scientists working on the phorid fly project agree that releasing the fly will not completely eliminate the need for other control methods .,Other/JJ strategies/NNS for/IN control/NN <p>/VBP Those/DT scientists/NNS working/VBG on/IN the/DT phorid/JJ fly/NN project/NN agree/VBP that/IN releasing/VBG the/DT fly/NN will/MD not/RB completely/RB eliminate/VB the/DT need/NN for/IN other/JJ control/NN methods/NNS ./.," amod(strategies-2, Other-1) nsubj(<p>-5, strategies-2) case(control-4, for-3) nmod:for(strategies-2, control-4) root(ROOT-0, <p>-5) det(scientists-7, Those-6) nsubj(agree-14, scientists-7) acl(scientists-7, working-8) case(project-13, on-9) det(project-13, the-10) amod(project-13, phorid-11) compound(project-13, fly-12) nmod:on(working-8, project-13) ccomp(<p>-5, agree-14) mark(eliminate-22, that-15) csubj(eliminate-22, releasing-16) det(fly-18, the-17) dobj(releasing-16, fly-18) aux(eliminate-22, will-19) neg(eliminate-22, not-20) advmod(eliminate-22, completely-21) ccomp(agree-14, eliminate-22) det(need-24, the-23) dobj(eliminate-22, need-24) case(methods-28, for-25) amod(methods-28, other-26) compound(methods-28, control-27) nmod:for(need-24, methods-28)  ",fly,12,"compound(project-13, fly-12) ",scientists working on the phorid fly project agree that releasing the,NN,[],,,,,[],[],[],[],[],[],['project'],[],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
Other strategies for control <p> Those scientists working on the phorid fly project agree that releasing the fly will not completely eliminate the need for other control methods .,Other/JJ strategies/NNS for/IN control/NN <p>/VBP Those/DT scientists/NNS working/VBG on/IN the/DT phorid/JJ fly/NN project/NN agree/VBP that/IN releasing/VBG the/DT fly/NN will/MD not/RB completely/RB eliminate/VB the/DT need/NN for/IN other/JJ control/NN methods/NNS ./.," amod(strategies-2, Other-1) nsubj(<p>-5, strategies-2) case(control-4, for-3) nmod:for(strategies-2, control-4) root(ROOT-0, <p>-5) det(scientists-7, Those-6) nsubj(agree-14, scientists-7) acl(scientists-7, working-8) case(project-13, on-9) det(project-13, the-10) amod(project-13, phorid-11) compound(project-13, fly-12) nmod:on(working-8, project-13) ccomp(<p>-5, agree-14) mark(eliminate-22, that-15) csubj(eliminate-22, releasing-16) det(fly-18, the-17) dobj(releasing-16, fly-18) aux(eliminate-22, will-19) neg(eliminate-22, not-20) advmod(eliminate-22, completely-21) ccomp(agree-14, eliminate-22) det(need-24, the-23) dobj(eliminate-22, need-24) case(methods-28, for-25) amod(methods-28, other-26) compound(methods-28, control-27) nmod:for(need-24, methods-28)  ",fly,18,"det(fly-18, the-17) dobj(releasing-16, fly-18) ",project agree that releasing the fly will not completely eliminate the,NN,[],releasing,VBG,object,[],[],[],[],[],['the'],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
"Howarth argues that the Beauveria could cause even more harm than the phorid fly , because certain strains have been known to attack not only ants , but termites , frogs , and fish .","Howarth/NNP argues/VBZ that/IN the/DT Beauveria/NNP could/MD cause/VB even/RB more/JJR harm/NN than/IN the/DT phorid/JJ fly/NN ,/, because/IN certain/JJ strains/NNS have/VBP been/VBN known/VBN to/TO attack/VB not/RB only/JJ ants/NNS ,/, but/CC termites/NNS ,/, frogs/NNS ,/, and/CC fish/NN ./."," nsubj(argues-2, Howarth-1) root(ROOT-0, argues-2) mark(cause-7, that-3) det(Beauveria-5, the-4) nsubj(cause-7, Beauveria-5) aux(cause-7, could-6) ccomp(argues-2, cause-7) advmod(more-9, even-8) amod(harm-10, more-9) dobj(cause-7, harm-10) case(fly-14, than-11) det(fly-14, the-12) amod(fly-14, phorid-13) nmod:than(cause-7, fly-14) mark(known-21, because-16) amod(strains-18, certain-17) nsubjpass(known-21, strains-18) nsubj(attack-23, strains-18) aux(known-21, have-19) auxpass(known-21, been-20) advcl(cause-7, known-21) mark(attack-23, to-22) xcomp(known-21, attack-23) neg(only-25, not-24) cc:preconj(ants-26, only-25) dobj(attack-23, ants-26) cc(ants-26, but-28) dobj(attack-23, termites-29) conj:but(ants-26, termites-29) conj:but(ants-26, frogs-31) conj:and(termites-29, frogs-31) cc(termites-29, and-33) conj:but(ants-26, fish-34) conj:and(termites-29, fish-34)  ",fly,14,"case(fly-14, than-11) det(fly-14, the-12) amod(fly-14, phorid-13) nmod:than(cause-7, fly-14) ","more harm than the phorid fly , because certain strains have",NN,[],,,,,"[('than', 'cause')]",['than'],['cause'],[],['the'],[],[],['phorid'],[],[],[],['than'],[],[],[],[],,,singular,,,unknown,unknown
<p> PHOTO ( BLACK AND WHITE ) : The phorid fly is a parasite of the fire ant .,<p>/NNP PHOTO/NNP -LRB-/-LRB- BLACK/NNP AND/CC WHITE/NNP -RRB-/-RRB- :/: The/DT phorid/JJ fly/NN is/VBZ a/DT parasite/NN of/IN the/DT fire/NN ant/NN ./.," compound(PHOTO-2, <p>-1) root(ROOT-0, PHOTO-2) appos(PHOTO-2, BLACK-4) cc(BLACK-4, AND-5) appos(PHOTO-2, WHITE-6) conj:and(BLACK-4, WHITE-6) det(fly-11, The-9) amod(fly-11, phorid-10) dep(PHOTO-2, fly-11) cop(parasite-14, is-12) det(parasite-14, a-13) acl:relcl(fly-11, parasite-14) case(ant-18, of-15) det(ant-18, the-16) compound(ant-18, fire-17) nmod:of(parasite-14, ant-18)  ",fly,11,"det(fly-11, The-9) amod(fly-11, phorid-10) acl:relcl(fly-11, parasite-14) dep(PHOTO-2, fly-11) ",WHITE ) : The phorid fly is a parasite of the,NN,[],,,,,[],[],[],[],['The'],[],[],['phorid'],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
"Once my initial shock of knowing that someone was actually breeding flies as an occupation subsided and the kidding stopped , I was told that the sale of fly larvae is "" big business . ""","Once/IN my/PRP$ initial/JJ shock/NN of/IN knowing/VBG that/IN someone/NN was/VBD actually/RB breeding/VBG flies/VBZ as/IN an/DT occupation/NN subsided/VBD and/CC the/DT kidding/NN stopped/VBD ,/, I/PRP was/VBD told/VBN that/IN the/DT sale/NN of/IN fly/NN larvae/NN is/VBZ ''/'' big/JJ business/NN ./. ''/''"," mark(flies-12, Once-1) nmod:poss(shock-4, my-2) amod(shock-4, initial-3) nsubj(flies-12, shock-4) mark(knowing-6, of-5) acl(shock-4, knowing-6) mark(breeding-11, that-7) nsubj(breeding-11, someone-8) aux(breeding-11, was-9) advmod(breeding-11, actually-10) ccomp(knowing-6, breeding-11) advcl(told-24, flies-12) mark(subsided-16, as-13) det(occupation-15, an-14) nsubj(subsided-16, occupation-15) advcl(flies-12, subsided-16) cc(flies-12, and-17) det(kidding-19, the-18) nsubj(stopped-20, kidding-19) conj:and(flies-12, stopped-20) advcl(told-24, stopped-20) nsubjpass(told-24, I-22) auxpass(told-24, was-23) root(ROOT-0, told-24) mark(is-31, that-25) det(sale-27, the-26) nsubj(is-31, sale-27) case(larvae-30, of-28) compound(larvae-30, fly-29) nmod:of(sale-27, larvae-30) ccomp(told-24, is-31) amod(business-34, big-33) nmod:tmod(is-31, business-34)  ",fly,29,"compound(larvae-30, fly-29) ","told that the sale of fly larvae is "" big business",NN,[],,,,,[],[],[],[],[],[],['larvae'],[],[],[],[],[],[],[],[],[],,,singular,,,unknown,unknown
"<p> 
##4016500 Gypsy Moth Biocontrol Readied <p> A friendly fly imported from forests in Korea and Germany may soon help protect America ' s trees and shrubs from one of their worst insect enemies -- gypsy moth .",<p>/NNP ##/NNP 4016500/NNP Gypsy/NNP Moth/NNP Biocontrol/NNP Readied/NNP <p>/VBP A/DT friendly/JJ fly/NN imported/VBN from/IN forests/NNS in/IN Korea/NNP and/CC Germany/NNP may/MD soon/RB help/VB protect/VB America/NNP '/POS s/CD trees/NNS and/CC shrubs/NNS from/IN one/CD of/IN their/PRP$ worst/JJS insect/NN enemies/NNS --/: gypsy/NN moth/VBP ./.," compound(Readied-7, <p>-1) compound(Readied-7, ##-2) compound(Readied-7, 4016500-3) compound(Readied-7, Gypsy-4) compound(Readied-7, Moth-5) compound(Readied-7, Biocontrol-6) nsubj(<p>-8, Readied-7) root(ROOT-0, <p>-8) det(fly-11, A-9) amod(fly-11, friendly-10) nsubj(help-21, fly-11) acl(fly-11, imported-12) case(forests-14, from-13) nmod:from(imported-12, forests-14) case(Korea-16, in-15) nmod:in(forests-14, Korea-16) cc(Korea-16, and-17) nmod:in(forests-14, Germany-18) conj:and(Korea-16, Germany-18) aux(help-21, may-19) advmod(help-21, soon-20) ccomp(<p>-8, help-21) xcomp(help-21, protect-22) nmod:poss(trees-26, America-23) case(America-23, '-24) nummod(trees-26, s-25) dobj(protect-22, trees-26) cc(trees-26, and-27) dobj(protect-22, shrubs-28) conj:and(trees-26, shrubs-28) case(one-30, from-29) nmod:from(protect-22, one-30) case(enemies-35, of-31) nmod:poss(enemies-35, their-32) amod(enemies-35, worst-33) compound(enemies-35, insect-34) nmod:of(one-30, enemies-35) nsubj(moth-38, gypsy-37) parataxis(<p>-8, moth-38)  ",fly,11,"det(fly-11, A-9) amod(fly-11, friendly-10) acl(fly-11, imported-12) nsubj(help-21, fly-11) ",Readied <p> A friendly fly imported from forests in Korea and,NN,[],help,VB,subject,[],[],[],[],[],['A'],[],[],['friendly'],[],[],[],[],[],[],[],[],,,singular,ambiguous,,unknown,unknown
