sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Compounds,Adjectival Modifiers,Possesed (owned by noun),Possesive (owner of noun),Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositional Modifiers,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability
The German aphorist Georg Lichtenberg once observed that steak would not be appealing to eat if it were cut with a scissors .,The/DT German/NNP aphorist/JJ Georg/NNP Lichtenberg/NNP once/RB observed/VBD that/IN steak/NN would/MD not/RB be/VB appealing/JJ to/TO eat/VB if/IN it/PRP were/VBD cut/VBN with/IN a/DT scissors/NNS ./.," det(Lichtenberg-5, The-1) amod(aphorist-3, German-2) amod(Lichtenberg-5, aphorist-3) compound(Lichtenberg-5, Georg-4) nsubj(observed-7, Lichtenberg-5) advmod(observed-7, once-6) root(ROOT-0, observed-7) mark(appealing-13, that-8) nsubj(appealing-13, steak-9) nsubj(eat-15, steak-9) aux(appealing-13, would-10) neg(appealing-13, not-11) cop(appealing-13, be-12) ccomp(observed-7, appealing-13) mark(eat-15, to-14) xcomp(appealing-13, eat-15) mark(cut-19, if-16) nsubjpass(cut-19, it-17) auxpass(cut-19, were-18) advcl(eat-15, cut-19) case(scissors-22, with-20) det(scissors-22, a-21) nmod:with(cut-19, scissors-22)  ",scissors,22,"case(scissors-22, with-20) det(scissors-22, a-21) nmod:with(cut-19, scissors-22) ",it were cut with a scissors .,NNS,[],,,,,"[('with', 'cut')]",['with'],['cut'],[],['a'],[],[],[],[],[],[],['with'],[],[],a,unit,ambiguous,,A+N,countable
"The following day , after the patient was anesthetized , Sayre drew the foreskin forward and cut it with scissors .","The/DT following/JJ day/NN ,/, after/IN the/DT patient/NN was/VBD anesthetized/JJ ,/, Sayre/NNP drew/VBD the/DT foreskin/NN forward/RB and/CC cut/VBD it/PRP with/IN scissors/NNS ./."," det(day-3, The-1) amod(day-3, following-2) nmod:tmod(drew-12, day-3) mark(anesthetized-9, after-5) det(patient-7, the-6) nsubj(anesthetized-9, patient-7) cop(anesthetized-9, was-8) advcl(drew-12, anesthetized-9) nsubj(drew-12, Sayre-11) nsubj(cut-17, Sayre-11) root(ROOT-0, drew-12) det(foreskin-14, the-13) dobj(drew-12, foreskin-14) advmod(drew-12, forward-15) cc(drew-12, and-16) conj:and(drew-12, cut-17) dobj(cut-17, it-18) case(scissors-20, with-19) nmod:with(cut-17, scissors-20)  ",scissors,20,"case(scissors-20, with-19) nmod:with(cut-17, scissors-20) ",forward and cut it with scissors .,NNS,[],,,,,"[('with', 'cut')]",['with'],['cut'],[],[],[],[],[],[],[],[],['with'],[],[],,,ambiguous,,,unknown
"other art responses , scissors , chalk , and clay , were named consistently but less frequently by the children .","other/JJ art/NN responses/NNS ,/, scissors/NNS ,/, chalk/NN ,/, and/CC clay/NN ,/, were/VBD named/VBN consistently/RB but/CC less/RBR frequently/RB by/IN the/DT children/NNS ./."," amod(responses-3, other-1) compound(responses-3, art-2) nsubjpass(named-13, responses-3) appos(responses-3, scissors-5) appos(responses-3, chalk-7) conj:and(scissors-5, chalk-7) cc(scissors-5, and-9) appos(responses-3, clay-10) conj:and(scissors-5, clay-10) auxpass(named-13, were-12) root(ROOT-0, named-13) advmod(named-13, consistently-14) cc(children-20, but-15) advmod(frequently-17, less-16) dep(children-20, frequently-17) case(children-20, by-18) det(children-20, the-19) dep(named-13, children-20)  ",scissors,5,"conj:and(scissors-5, chalk-7) cc(scissors-5, and-9) conj:and(scissors-5, clay-10) appos(responses-3, scissors-5) ","other art responses , scissors , chalk , and clay",NNS,[],,,,,[],[],[],[],[],"[('and', 'chalk'), ('and', 'clay')]",[],[],[],[],[],[],[],"['modifier', 'responses']",,,ambiguous,,,unknown
"Consider this observation made by Bernard Dupriez : "" It also happens in apostrophe that addresses are made to a second person in the hope that they will be overheard by a third party , as when a mother asks her two-year-old child to look for the scissors , knowing that her husband is not far away .","Consider/VB this/DT observation/NN made/VBD by/IN Bernard/NNP Dupriez/NNP :/: ''/'' It/PRP also/RB happens/VBZ in/IN apostrophe/NN that/IN addresses/NNS are/VBP made/VBN to/TO a/DT second/JJ person/NN in/IN the/DT hope/NN that/IN they/PRP will/MD be/VB overheard/VBN by/IN a/DT third/JJ party/NN ,/, as/RB when/WRB a/DT mother/NN asks/VBZ her/PRP$ two-year-old/JJ child/NN to/TO look/VB for/IN the/DT scissors/NNS ,/, knowing/VBG that/IN her/PRP$ husband/NN is/VBZ not/RB far/RB away/RB ./."," csubj(made-4, Consider-1) det(observation-3, this-2) dobj(Consider-1, observation-3) root(ROOT-0, made-4) case(Dupriez-7, by-5) compound(Dupriez-7, Bernard-6) nmod:by(made-4, Dupriez-7) nsubj(happens-12, It-10) advmod(happens-12, also-11) dep(made-4, happens-12) case(apostrophe-14, in-13) nmod:in(happens-12, apostrophe-14) mark(made-18, that-15) nsubjpass(made-18, addresses-16) auxpass(made-18, are-17) ccomp(happens-12, made-18) case(person-22, to-19) det(person-22, a-20) amod(person-22, second-21) nmod:to(made-18, person-22) case(hope-25, in-23) det(hope-25, the-24) nmod:in(person-22, hope-25) mark(overheard-30, that-26) nsubjpass(overheard-30, they-27) aux(overheard-30, will-28) auxpass(overheard-30, be-29) ccomp(made-18, overheard-30) case(party-34, by-31) det(party-34, a-32) amod(party-34, third-33) nmod:by(overheard-30, party-34) advmod(asks-40, as-36) advmod(asks-40, when-37) det(mother-39, a-38) nsubj(asks-40, mother-39) dep(made-4, asks-40) nmod:poss(child-43, her-41) amod(child-43, two-year-old-42) dobj(asks-40, child-43) nsubj(look-45, child-43) mark(look-45, to-44) xcomp(asks-40, look-45) case(scissors-48, for-46) det(scissors-48, the-47) nmod:for(look-45, scissors-48) xcomp(look-45, knowing-50) mark(is-54, that-51) nmod:poss(husband-53, her-52) nsubj(is-54, husband-53) ccomp(knowing-50, is-54) neg(is-54, not-55) advmod(away-57, far-56) advmod(is-54, away-57)  ",scissors,48,"case(scissors-48, for-46) det(scissors-48, the-47) nmod:for(look-45, scissors-48) ","child to look for the scissors , knowing that her husband",NNS,[],,,,,"[('for', 'look')]",['for'],['look'],[],['the'],[],[],[],[],[],[],['for'],[],[],,,ambiguous,,,unknown
"He wanted to make the capsule as meaningful to the students ' lives as possible , so he included items they would have typically used in kindergarten : simple puzzles , an easel paint brush , primary writing paper , blunt scissors , large crayons , picture books , and building blocks .","He/PRP wanted/VBD to/TO make/VB the/DT capsule/NN as/RB meaningful/JJ to/TO the/DT students/NNS '/POS lives/NNS as/RB possible/JJ ,/, so/IN he/PRP included/VBD items/NNS they/PRP would/MD have/VB typically/RB used/VBN in/IN kindergarten/JJ :/: simple/JJ puzzles/NNS ,/, an/DT easel/JJ paint/NN brush/NN ,/, primary/JJ writing/NN paper/NN ,/, blunt/JJ scissors/NNS ,/, large/JJ crayons/NNS ,/, picture/NN books/NNS ,/, and/CC building/NN blocks/NNS ./."," nsubj(wanted-2, He-1) nsubj(make-4, He-1) root(ROOT-0, wanted-2) mark(make-4, to-3) xcomp(wanted-2, make-4) det(capsule-6, the-5) nsubj(meaningful-8, capsule-6) advmod(meaningful-8, as-7) xcomp(make-4, meaningful-8) case(lives-13, to-9) det(students-11, the-10) nmod:poss(lives-13, students-11) case(students-11, '-12) nmod:to(meaningful-8, lives-13) advmod(possible-15, as-14) amod(lives-13, possible-15) dep(wanted-2, so-17) nsubj(included-19, he-18) parataxis(wanted-2, included-19) dobj(included-19, items-20) nsubj(used-25, they-21) aux(used-25, would-22) aux(used-25, have-23) advmod(used-25, typically-24) acl:relcl(items-20, used-25) case(blocks-52, in-26) amod(blocks-52, kindergarten-27) amod(puzzles-30, simple-29) dep(kindergarten-27, puzzles-30) det(brush-35, an-32) amod(brush-35, easel-33) compound(brush-35, paint-34) dep(kindergarten-27, brush-35) conj:and(puzzles-30, brush-35) amod(paper-39, primary-37) compound(paper-39, writing-38) dep(kindergarten-27, paper-39) conj:and(puzzles-30, paper-39) amod(scissors-42, blunt-41) dep(kindergarten-27, scissors-42) conj:and(puzzles-30, scissors-42) amod(crayons-45, large-44) dep(kindergarten-27, crayons-45) conj:and(puzzles-30, crayons-45) compound(books-48, picture-47) dep(kindergarten-27, books-48) conj:and(puzzles-30, books-48) cc(puzzles-30, and-50) dep(kindergarten-27, building-51) conj:and(puzzles-30, building-51) nmod:in(used-25, blocks-52)  ",scissors,42,"amod(scissors-42, blunt-41) dep(kindergarten-27, scissors-42) conj:and(puzzles-30, scissors-42) ","primary writing paper , blunt scissors , large crayons , picture",NNS,[],,,,,[],[],[],[],[],"[('and', 'puzzles')]",[],['blunt'],[],[],[],[],[],[],,,ambiguous,,,unknown
"Tools include a slate and a stylus , a small hand sewing machine , glue , scissors , a hole punch , a mill file , and a small bottle of cleaning alcohol to wipe off surfaces before applying adhesive .","Tools/NNS include/VBP a/DT slate/NN and/CC a/DT stylus/NNS ,/, a/DT small/JJ hand/NN sewing/NN machine/NN ,/, glue/NN ,/, scissors/NNS ,/, a/DT hole/NN punch/NN ,/, a/DT mill/NN file/NN ,/, and/CC a/DT small/JJ bottle/NN of/IN cleaning/VBG alcohol/NN to/TO wipe/VB off/RP surfaces/NNS before/IN applying/VBG adhesive/NN ./."," nsubj(include-2, Tools-1) root(ROOT-0, include-2) det(slate-4, a-3) dobj(include-2, slate-4) cc(slate-4, and-5) det(stylus-7, a-6) dobj(include-2, stylus-7) conj:and(slate-4, stylus-7) det(machine-13, a-9) amod(machine-13, small-10) compound(machine-13, hand-11) compound(machine-13, sewing-12) conj:and(slate-4, machine-13) conj:and(stylus-7, machine-13) conj:and(slate-4, glue-15) conj:and(stylus-7, glue-15) conj:and(slate-4, scissors-17) conj:and(stylus-7, scissors-17) det(punch-21, a-19) compound(punch-21, hole-20) conj:and(slate-4, punch-21) conj:and(stylus-7, punch-21) det(file-25, a-23) compound(file-25, mill-24) conj:and(slate-4, file-25) conj:and(stylus-7, file-25) cc(stylus-7, and-27) det(bottle-30, a-28) amod(bottle-30, small-29) conj:and(slate-4, bottle-30) conj:and(stylus-7, bottle-30) mark(cleaning-32, of-31) advcl(include-2, cleaning-32) dobj(cleaning-32, alcohol-33) mark(wipe-35, to-34) advcl(cleaning-32, wipe-35) compound:prt(wipe-35, off-36) dobj(wipe-35, surfaces-37) mark(applying-39, before-38) advcl(wipe-35, applying-39) dobj(applying-39, adhesive-40)  ",scissors,17,"conj:and(slate-4, scissors-17) conj:and(stylus-7, scissors-17) ","sewing machine , glue , scissors , a hole punch ,",NNS,[],,,,,[],[],[],[],[],"[('and', 'slate'), ('and', 'stylus')]",[],[],[],[],[],[],[],[],,,ambiguous,,,unknown
"He loses his imagination among scissors , adhesive paper , stencils , and chicken-wire figures .... His mind gets drained of ideas when he thinks that he is expressing essential things , while in reality he is only busy manipulating some materials.","He/PRP loses/VBZ his/PRP$ imagination/NN among/IN scissors/NNS ,/, adhesive/JJ paper/NN ,/, stencils/NNS ,/, and/CC chicken-wire/JJ figures/NNS .../: ./."," nsubj(loses-2, He-1) root(ROOT-0, loses-2) nmod:poss(imagination-4, his-3) dobj(loses-2, imagination-4) case(scissors-6, among-5) nmod:among(loses-2, scissors-6) amod(paper-9, adhesive-8) nmod:among(loses-2, paper-9) conj:and(scissors-6, paper-9) nmod:among(loses-2, stencils-11) conj:and(scissors-6, stencils-11) cc(scissors-6, and-13) amod(figures-15, chicken-wire-14) nmod:among(loses-2, figures-15) conj:and(scissors-6, figures-15)  His/PRP$ mind/NN gets/VBZ drained/VBN of/IN ideas/NNS when/WRB he/PRP thinks/VBZ that/IN he/PRP is/VBZ expressing/VBG essential/JJ things/NNS ,/, while/IN in/IN reality/NN he/PRP is/VBZ only/RB busy/JJ manipulating/VBG some/DT materials/NNS ./.  nmod:poss(mind-2, His-1) nsubj(gets-3, mind-2) root(ROOT-0, gets-3) dep(gets-3, drained-4) case(ideas-6, of-5) nmod:of(drained-4, ideas-6) mark(expressing-13, ideas-6) advmod(thinks-9, when-7) nsubj(thinks-9, he-8) acl:relcl(ideas-6, thinks-9) ref(ideas-6, that-10) nsubj(expressing-13, he-11) aux(expressing-13, is-12) ccomp(thinks-9, expressing-13) amod(things-15, essential-14) dobj(expressing-13, things-15) mark(busy-23, while-17) case(reality-19, in-18) nmod:in(busy-23, reality-19) nsubj(busy-23, he-20) cop(busy-23, is-21) advmod(busy-23, only-22) advcl(gets-3, busy-23) xcomp(busy-23, manipulating-24) det(materials-26, some-25) dobj(manipulating-24, materials-26)  ",scissors,6,"case(scissors-6, among-5) conj:and(scissors-6, paper-9) conj:and(scissors-6, stencils-11) cc(scissors-6, and-13) conj:and(scissors-6, figures-15) nmod:among(loses-2, scissors-6) ","He loses his imagination among scissors , adhesive paper , stencils",NNS,[],,,,,"[('among', 'loses')]",['among'],['loses'],[],[],"[('and', 'paper'), ('and', 'stencils'), ('and', 'figures')]",[],[],[],[],[],['among'],[],[],,,ambiguous,,,unknown
"They can be translated into the conditions of an education that will liberate creativity from the fetters of "" scissors and adhesive paper "" or videotapes and computer software .",They/PRP can/MD be/VB translated/VBN into/IN the/DT conditions/NNS of/IN an/DT education/NN that/WDT will/MD liberate/VB creativity/NN from/IN the/DT fetters/NNS of/IN ''/'' scissors/NNS and/CC adhesive/NN paper/NN ''/'' or/CC videotapes/NNS and/CC computer/NN software/NN ./.," nsubjpass(translated-4, They-1) aux(translated-4, can-2) auxpass(translated-4, be-3) root(ROOT-0, translated-4) case(conditions-7, into-5) det(conditions-7, the-6) nmod:into(translated-4, conditions-7) case(education-10, of-8) det(education-10, an-9) nmod:of(conditions-7, education-10) nsubj(liberate-13, education-10) ref(education-10, that-11) aux(liberate-13, will-12) acl:relcl(education-10, liberate-13) dobj(liberate-13, creativity-14) case(fetters-17, from-15) det(fetters-17, the-16) nmod:from(liberate-13, fetters-17) case(scissors-20, of-18) nmod:of(fetters-17, scissors-20) cc(scissors-20, and-21) compound(paper-23, adhesive-22) nmod:of(fetters-17, paper-23) conj:and(scissors-20, paper-23) cc(fetters-17, or-25) nmod:from(liberate-13, videotapes-26) conj:or(fetters-17, videotapes-26) cc(videotapes-26, and-27) compound(software-29, computer-28) conj:or(fetters-17, software-29) conj:and(videotapes-26, software-29)  ",scissors,20,"case(scissors-20, of-18) cc(scissors-20, and-21) conj:and(scissors-20, paper-23) nmod:of(fetters-17, scissors-20) ","from the fetters of "" scissors and adhesive paper "" or",NNS,[],,,,,"[('of', 'fetters')]",['of'],['fetters'],[],[],"[('and', 'paper')]",[],[],[],[],[],['of'],[],[],,,ambiguous,,,unknown
"He warned that the student may "" lose his imagination among scissors , adhesive paper , stencils , and chicken-wire figures . ""","He/PRP warned/VBD that/DT the/DT student/NN may/MD ''/'' lose/VB his/PRP$ imagination/NN among/IN scissors/NNS ,/, adhesive/JJ paper/NN ,/, stencils/NNS ,/, and/CC chicken-wire/JJ figures/NNS ./. ''/''"," nsubj(warned-2, He-1) root(ROOT-0, warned-2) nsubj(may-6, that-3) det(student-5, the-4) dep(that-3, student-5) ccomp(warned-2, may-6) ccomp(warned-2, lose-8) nmod:poss(imagination-10, his-9) dobj(lose-8, imagination-10) case(scissors-12, among-11) nmod:among(warned-2, scissors-12) amod(paper-15, adhesive-14) nmod:among(warned-2, paper-15) conj:and(scissors-12, paper-15) nmod:among(warned-2, stencils-17) conj:and(scissors-12, stencils-17) cc(scissors-12, and-19) amod(figures-21, chicken-wire-20) nmod:among(warned-2, figures-21) conj:and(scissors-12, figures-21)  ",scissors,12,"case(scissors-12, among-11) conj:and(scissors-12, paper-15) conj:and(scissors-12, stencils-17) cc(scissors-12, and-19) conj:and(scissors-12, figures-21) nmod:among(warned-2, scissors-12) ",""" lose his imagination among scissors , adhesive paper , stencils",NNS,[],,,,,"[('among', 'warned')]",['among'],['warned'],[],[],"[('and', 'paper'), ('and', 'stencils'), ('and', 'figures')]",[],[],[],[],[],['among'],[],[],,,ambiguous,,,unknown
"Some of the name lines , however , had been cut out with a pair of scissors ; the owner explained that those lines were removed because the victim paid the price listed , which was also the price paid by the initial client ( whose name was not listed ) .","Some/DT of/IN the/DT name/NN lines/NNS ,/, however/RB ,/, had/VBD been/VBN cut/VBN out/RP with/IN a/DT pair/NN of/IN scissors/NNS ;/: the/DT owner/NN explained/VBD that/IN those/DT lines/NNS were/VBD removed/VBN because/IN the/DT victim/NN paid/VBD the/DT price/NN listed/VBN ,/, which/WDT was/VBD also/RB the/DT price/NN paid/VBN by/IN the/DT initial/JJ client/NN -LRB-/-LRB- whose/WP$ name/NN was/VBD not/RB listed/VBN -RRB-/-RRB- ./."," nsubjpass(cut-11, Some-1) case(lines-5, of-2) det(lines-5, the-3) compound(lines-5, name-4) nmod:of(Some-1, lines-5) advmod(lines-5, however-7) aux(cut-11, had-9) auxpass(cut-11, been-10) root(ROOT-0, cut-11) compound:prt(cut-11, out-12) case(pair-15, with-13) det(pair-15, a-14) nmod:with(cut-11, pair-15) case(scissors-17, of-16) nmod:of(pair-15, scissors-17) det(owner-20, the-19) nsubj(explained-21, owner-20) parataxis(cut-11, explained-21) mark(removed-26, that-22) det(lines-24, those-23) nsubjpass(removed-26, lines-24) auxpass(removed-26, were-25) ccomp(explained-21, removed-26) mark(paid-30, because-27) det(victim-29, the-28) nsubj(paid-30, victim-29) advcl(removed-26, paid-30) det(price-32, the-31) dobj(paid-30, price-32) nsubj(price-39, price-32) acl(price-32, listed-33) ref(price-32, which-35) cop(price-39, was-36) advmod(price-39, also-37) det(price-39, the-38) acl:relcl(price-32, price-39) acl(price-39, paid-40) case(client-44, by-41) det(client-44, the-42) amod(client-44, initial-43) nmod:by(paid-40, client-44) nmod:poss(name-47, whose-46) nsubjpass(listed-50, name-47) auxpass(listed-50, was-48) neg(listed-50, not-49) dep(client-44, listed-50)  ",scissors,17,"case(scissors-17, of-16) nmod:of(pair-15, scissors-17) ",out with a pair of scissors ; the owner explained that,NNS,[],,,,,"[('of', 'pair')]",['of'],['pair'],[],[],[],[],[],[],[],[],['of'],[],[],,,ambiguous,,,unknown
"Looking bored with her display of emotion , he switches to cutting his fingernails with the scissors .","Looking/VBG bored/VBN with/IN her/PRP$ display/NN of/IN emotion/NN ,/, he/PRP switches/VBZ to/TO cutting/VBG his/PRP$ fingernails/NNS with/IN the/DT scissors/NNS ./."," advcl(switches-10, Looking-1) xcomp(Looking-1, bored-2) case(display-5, with-3) nmod:poss(display-5, her-4) nmod:with(bored-2, display-5) case(emotion-7, of-6) nmod:of(display-5, emotion-7) nsubj(switches-10, he-9) root(ROOT-0, switches-10) mark(cutting-12, to-11) advcl(switches-10, cutting-12) nmod:poss(fingernails-14, his-13) dobj(cutting-12, fingernails-14) case(scissors-17, with-15) det(scissors-17, the-16) nmod:with(cutting-12, scissors-17)  ",scissors,17,"case(scissors-17, with-15) det(scissors-17, the-16) nmod:with(cutting-12, scissors-17) ",cutting his fingernails with the scissors .,NNS,[],,,,,"[('with', 'cutting')]",['with'],['cutting'],[],['the'],[],[],[],[],[],[],['with'],[],[],,,ambiguous,,,unknown
"The materials needed for the game include an enlarged ( approximately 9 "" x 11 "" ) photocopy of a map or a simplified drawn map of the area , a map key of locations and landmarks as they appear on the map , a metal cookie sheet ( approximately 12 "" x 15 "" ) , small magnets and adhesive magnet strips , tag board , markers or crayons , scissors , and index cards and envelopes .","The/DT materials/NNS needed/VBD for/IN the/DT game/NN include/VBP an/DT enlarged/JJ -LRB-/-LRB- approximately/VBN 9/CD ''/'' x/VBG 11/CD ''/'' -RRB-/-RRB- photocopy/NN of/IN a/DT map/NN or/CC a/DT simplified/VBN drawn/JJ map/NN of/IN the/DT area/NN ,/, a/DT map/NN key/NN of/IN locations/NNS and/CC landmarks/NNS as/IN they/PRP appear/VBP on/IN the/DT map/NN ,/, a/DT metal/NN cookie/NN sheet/NN -LRB-/-LRB- approximately/VBN 12/CD ''/'' x/VBG 15/CD ''/'' -RRB-/-RRB- ,/, small/JJ magnets/NNS and/CC adhesive/JJ magnet/NN strips/NNS ,/, tag/NN board/NN ,/, markers/NNS or/CC crayons/NNS ,/, scissors/NNS ,/, and/CC index/NN cards/NNS and/CC envelopes/NNS ./."," det(materials-2, The-1) nsubj(needed-3, materials-2) root(ROOT-0, needed-3) mark(include-7, for-4) det(game-6, the-5) nsubj(include-7, game-6) advcl(needed-3, include-7) det(photocopy-18, an-8) amod(photocopy-18, enlarged-9) dep(photocopy-18, approximately-11) dobj(approximately-11, 9-12) acl(9-12, x-14) dobj(x-14, 11-15) dobj(include-7, photocopy-18) case(map-21, of-19) det(map-21, a-20) nmod:of(photocopy-18, map-21) cc(photocopy-18, or-22) det(map-26, a-23) amod(map-26, simplified-24) amod(map-26, drawn-25) dobj(include-7, map-26) conj:or(photocopy-18, map-26) case(area-29, of-27) det(area-29, the-28) nmod:of(map-26, area-29) det(key-33, a-31) compound(key-33, map-32) dobj(include-7, key-33) conj:or(photocopy-18, key-33) case(locations-35, of-34) nmod:of(key-33, locations-35) cc(photocopy-18, and-36) dobj(include-7, landmarks-37) conj:or(photocopy-18, landmarks-37) mark(appear-40, as-38) nsubj(appear-40, they-39) acl:relcl(landmarks-37, appear-40) case(map-43, on-41) det(map-43, the-42) nmod:on(appear-40, map-43) det(sheet-48, a-45) compound(sheet-48, metal-46) compound(sheet-48, cookie-47) appos(map-43, sheet-48) dep(photocopy-18, approximately-50) dobj(approximately-50, 12-51) acl(12-51, x-53) dobj(x-53, 15-54) amod(magnets-59, small-58) dobj(include-7, magnets-59) conj:or(photocopy-18, magnets-59) cc(photocopy-18, and-60) amod(strips-63, adhesive-61) compound(strips-63, magnet-62) dobj(include-7, strips-63) conj:and(photocopy-18, strips-63) compound(board-66, tag-65) conj:and(photocopy-18, board-66) conj:and(strips-63, board-66) conj:and(photocopy-18, markers-68) conj:and(strips-63, markers-68) cc(markers-68, or-69) conj:and(strips-63, crayons-70) conj:or(markers-68, crayons-70) conj:and(photocopy-18, scissors-72) conj:and(strips-63, scissors-72) cc(strips-63, and-74) compound(cards-76, index-75) conj:and(photocopy-18, cards-76) conj:and(strips-63, cards-76) cc(cards-76, and-77) conj:and(strips-63, envelopes-78) conj:and(cards-76, envelopes-78)  ",scissors,72,"conj:and(photocopy-18, scissors-72) conj:and(strips-63, scissors-72) ",", markers or crayons , scissors , and index cards and",NNS,[],,,,,[],[],[],[],[],"[('and', 'photocopy'), ('and', 'strips')]",[],[],[],[],[],[],[],[],,,ambiguous,,,unknown
"Each journal-keeper was supplied with a small tape recorder or boombox and two audiotapes , as well as a personal "" journal kit "" containing a notebook , colored pen , scissors , and glue stick to encourage active participation .","Each/DT journal-keeper/NN was/VBD supplied/VBN with/IN a/DT small/JJ tape/NN recorder/NN or/CC boombox/NN and/CC two/CD audiotapes/NNS ,/, as/RB well/RB as/IN a/DT personal/JJ ''/'' journal/NN kit/NN ''/'' containing/VBG a/DT notebook/NN ,/, colored/VBN pen/NN ,/, scissors/NNS ,/, and/CC glue/NN stick/VBP to/TO encourage/VB active/JJ participation/NN ./."," det(journal-keeper-2, Each-1) nsubjpass(supplied-4, journal-keeper-2) auxpass(supplied-4, was-3) root(ROOT-0, supplied-4) case(recorder-9, with-5) det(recorder-9, a-6) amod(recorder-9, small-7) compound(recorder-9, tape-8) nmod:with(supplied-4, recorder-9) cc(recorder-9, or-10) nmod:with(supplied-4, boombox-11) conj:or(recorder-9, boombox-11) cc(supplied-4, and-12) nummod(audiotapes-14, two-13) nsubj(containing-25, audiotapes-14) cc(audiotapes-14, as-16) mwe(as-16, well-17) mwe(as-16, as-18) det(kit-23, a-19) amod(kit-23, personal-20) compound(kit-23, journal-22) conj:and(audiotapes-14, kit-23) nsubj(containing-25, kit-23) conj:and(supplied-4, containing-25) det(notebook-27, a-26) dobj(containing-25, notebook-27) amod(pen-30, colored-29) appos(notebook-27, pen-30) appos(pen-30, scissors-32) cc(supplied-4, and-34) nsubj(stick-36, glue-35) nsubj(encourage-38, glue-35) conj:and(supplied-4, stick-36) mark(encourage-38, to-37) xcomp(stick-36, encourage-38) amod(participation-40, active-39) dobj(encourage-38, participation-40)  ",scissors,32,"appos(pen-30, scissors-32) ","notebook , colored pen , scissors , and glue stick to",NNS,[],,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],"['modifier', 'pen']",,,ambiguous,,,unknown
", the blue paper , the purple crayon , the red scissors , etc . )",",/, the/DT blue/JJ paper/NN ,/, the/DT purple/JJ crayon/NN ,/, the/DT red/JJ scissors/NNS ,/, etc/FW ./. -RRB-/-RRB-"," det(paper-4, the-2) amod(paper-4, blue-3) dep(scissors-12, paper-4) det(crayon-8, the-6) amod(crayon-8, purple-7) appos(paper-4, crayon-8) det(red-11, the-10) amod(scissors-12, red-11) root(ROOT-0, scissors-12) conj(scissors-12, etc-14)  ",scissors,12,"dep(scissors-12, paper-4) amod(scissors-12, red-11) conj(scissors-12, etc-14) root(ROOT-0, scissors-12) ","purple crayon , the red scissors , etc . )",NNS,[],,,,,[],[],[],[],[],"[('', 'etc')]",[],['red'],[],[],[],[],[],[],,,ambiguous,,,unknown
