sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
We sent a few sheep ahead to be slaughtered for the communal meal .,sheep,"det(sheep-5, a-3) amod(sheep-5, few-4) dobj(sent-2, sheep-5) ",NN,,VBD,,,sent,send,,,,,,a,,,,few,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"A tent was pitched in front of the house of the victim 's senior brother , and about fifteen sheep , provided by our kinsmen in the village , were slaughtered for the shaikhs .",sheep,"advmod(sheep-20, about-18) nummod(sheep-20, fifteen-19) acl(sheep-20, provided-22) nsubjpass(slaughtered-31, sheep-20) ",NN,,VBN,slaughtered,slaughter,,,,,,,,,,,,,,,fifteen,about,,,,,,fifteen,other,singular,ambiguous,['O-DEN'],countable,unknown
"For example , the stars we know as Alpha and Beta Ophiuchi were regarded by the Arabs as a shepherd and his dog while neighboring stars made up the outlines of a field with sheep .",sheep,"case(sheep-35, with-34) nmod:with(made-27, sheep-35) ",NN,,,,,,,,with made,with,made,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Because sheep , cattle , and goats grazed on the young trees and shrubs that sprang up after clearing , the forests did not regenerate .",sheep,"conj:and(sheep-2, cattle-4) cc(sheep-2, and-6) conj:and(sheep-2, goats-7) nsubj(grazed-8, sheep-2) ",NN,,VBD,grazed,graze,,,,,,,,,"and, and","cattle, goats",,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"( 2 ) Virtually all of this secondary soil salinity is found in the rain-fed wheat belt of the state of Western Australia , where some 13 million hectares of the indigenous woodland have been cleared , mostly during this century , to establish a mixed agricultural economy of cereal crops and sheep farming .",sheep,"compound(farming-54, sheep-53) ",NN,,,,,,,,,,,,,,,farming,,,,,,,,,,,,,singular,,[],unknown,unknown
"My blood , burdened with the inheritance of sheep breeders , patriarchs and kings , rebels against the thieving gypsyishness of the writing tribe .",sheep,"compound(breeders-10, sheep-9) ",NN,,,,,,,,,,,,,,,breeders,,,,,,,,,,,,,singular,,[],unknown,unknown
The blood of a brute sheep accorded salvation ; shall not the blood of the Only-begotten much more save us ( 13.3 ) ?,sheep,"case(sheep-6, of-3) det(sheep-6, a-4) amod(sheep-6, brute-5) acl(sheep-6, accorded-7) nmod:of(blood-2, sheep-6) ",NN,,,,,,,,of blood,of,blood,,a,,,,brute,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"Large game animals still roam free in the Northwest Territories , among them moose , mountain sheep , muskox , wolves , caribou , and grizzly and polar bears .",sheep,"compound(sheep-17, mountain-16) nmod:among(roam-5, sheep-17) conj:and(moose-14, sheep-17) ",NN,,,,,,,,among roam,among,roam,,,and,moose,mountain,,,,,,,,,,,,,singular,,[],unknown,unknown
Persistently depressed sale prices for meat have more than halved the net income of sheep farmers and beef farmers since 1984 .,sheep,"compound(farmers-16, sheep-15) ",NN,,,,,,,,,,,,,,,farmers,,,,,,,,,,,,,singular,,[],unknown,unknown
"Trade evidence is circumstantial , because no port records exist , but it is likely that cattle , sheep , leather , and cereals from the Vale of Glamorgan were exported to the West Country .",sheep,"conj:and(cattle-17, sheep-19) nsubjpass(exported-31, sheep-19) ",NN,,VBN,exported,export,,,,,,,,,and,cattle,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Among the plants were sheep sorrel , couch grass , chickweed , Saint-John's-wort , yarrow , purslane , tansy , mullein , shepherd 's purse , plantain , dandelion , mallow , and sow thistle .",sheep,"compound(sorrel-6, sheep-5) ",NN,,,,,,,,,,,,,,,sorrel,,,,,,,,,,,,,singular,,[],unknown,unknown
"Livestock probably included camels , sheep , goats , and horses , although the evidence is not definitive .",sheep,"dobj(included-3, sheep-6) conj:and(camels-4, sheep-6) ",NN,,VBD,,,included,include,,,,,,,and,camels,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Finally , there is strong evidence that horses , sheep , and camels were raised in Roman Africa ( Haywood 1938 ; Brogan 1954 ) .",sheep,"conj:and(horses-8, sheep-10) nsubjpass(raised-15, sheep-10) ",NN,,VBN,raised,raise,,,,,,,,,and,horses,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> A Roman-Mediterranean agrosystem , consisting of cultivation of wheat , barley , vines , and olive trees as well as sheep raising , has been identified for the Roman and early Muslim periods in Spain ( Butzer and others 1985 ) .",sheep,"acl(sheep-22, raising-23) nmod:of(consisting-6, sheep-22) conj:and(cultivation-8, sheep-22) ",NN,,,,,,,,of consisting,of,consisting,,,and,cultivation,,,,,,,,,,,,,,singular,,[],unknown,unknown
"It is seen by many Highlanders that just as land , which had never been considered property to be bought and sold as a commodity before 1700 , was appropriated by 18th century landlords for large-scale sheep farming , so the sea bed , not heretofore considered to be a commodity , is being claimed for large-scale fish farming .",sheep,"compound(farming-38, sheep-37) ",NN,,,,,,,,,,,,,,,farming,,,,,,,,,,,,,singular,,[],unknown,unknown
"They claim that tourists never see the real community but are themselves not forthcoming about their lifestyle , peat cutting , raising sheep , fishing , and church life .",sheep,"compound(sheep-23, raising-22) nmod:about(forthcoming-14, sheep-23) conj:and(lifestyle-17, sheep-23) ",NN,,,,,,,,about forthcoming,about,forthcoming,,,and,lifestyle,raising,,,,,,,,,,,,,singular,,[],unknown,unknown
"Relative to Canadian businessmen , New Zealand businessmen and sheep farmers had much more to fear by the threat of being overwhelmed by a neighbor that was roughly the same in population proportion greater than New Zealand , as the U.S. population is greater than Canada 's .",sheep,"nmod:to(Relative-1, sheep-10) conj:and(businessmen-4, sheep-10) ",NN,,,,,,,,to Relative,to,relative,,,and,businessmen,,,,,,,,,,,,,,singular,,[],unknown,unknown
", "" from Psalm 65:13 : "" The meadows are clothed with sheep and the valleys mantled in corn , so that they shout , they break into song . """,sheep,"case(sheep-13, with-12) nmod:with(clothed-11, sheep-13) ",NN,,,,,,,,with clothed,with,clothed,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Among fathers may be counted old Jack , drunkenly brutalizing his drunk son ( D 120 ) ; comments on Hynes 's father ( D 124 ) ; the reference to "" the City Fathers "" ( D 127 ) , who back only those who borrow money from them ; the black sheep , Father Keon ; and so on : vicious circles that form and reform kaleidoscopically throughout .",sheep,"det(sheep-55, the-53) amod(sheep-55, black-54) appos(sheep-55, Keon-58) nmod:on(comments-20, sheep-55) conj:and(father-24, sheep-55) ",NN,,,,,,,,on comments,on,comments,,the,and,father,,black,,,,,"modified, keon",,keon,,,,,singular,,[],unknown,unknown
"He is called a "" black sheep "" ( D 126 ) , and his "" shabby frock-coat "" ( D 125 ) supplies us with the word frock , which Skeat derives from "" Flock : "" "" Probably so called because woollen . """,sheep,"amod(sheep-7, black-6) appos(sheep-7, D-10) cc(sheep-7, and-14) conj:and(sheep-7, his-15) dobj(frock-coat-18, sheep-7) ",NN,,,,,,,,,,,,,and,his,,black,,,,,"modified, d",,d,,,,,singular,,[],unknown,unknown
"Like honor , violence , too , belongs to all ; and in this case , the hares or the sheep turn on the tiger and rip him to shreds .",sheep,"det(sheep-21, the-20) conj:or(hares-18, sheep-21) nsubj(turn-22, sheep-21) ",NN,,VBP,turn,turn,,,,,,,,the,or,hares,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"( n15 , n16 ) The pressure in sheep is higher ( 15 mm Hg ) .",sheep,"case(sheep-9, in-8) nmod:in(pressure-7, sheep-9) ",NN,,,,,,,,in pressure,in,pressure,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"However , Mabuya mabuya has uterine cups composed of hypertrophied epithelial cells adjacent to chorioallantoic cups that exhibit binucleated epithelial cells , 1 similar to the hormone-secreting placental cups observed in cows and sheep ( Steven 1975 ) .",sheep,"nmod:in(observed-30, sheep-34) conj:and(cows-32, sheep-34) ",NN,,,,,,,,in observed,in,observed,,,and,cows,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Recent developments in the isolation of factors responsible for signaling maternal recognition of pregnancy in mammals indicate that these factors are ainterferons in sheep and cows , estrogens in pigs , and gonadotropinlike peptides in primates ( Flint et al .",sheep,"case(sheep-24, in-23) cc(sheep-24, and-25) conj:and(sheep-24, cows-26) nmod:in(ainterferons-22, sheep-24) ",NN,,,,,,,,in ainterferons,in,ainterferons,,,and,cows,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Clear that fence , fetch in those sheep , move those calves , win that race , find that guy , retrieve that bird .",sheep,"case(sheep-8, in-6) det(sheep-8, those-7) nmod:in(fetch-5, sheep-8) ",NN,,,,,,,,in fetch,in,fetch,,those,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
But he could not talk to his son any more than he could talk to his sheep .,sheep,"case(sheep-17, to-15) nmod:poss(sheep-17, his-16) nmod:to(talk-14, sheep-17) ",NN,,,,,,,,to talk,to,talk,,,,,,,,his,,,,,,,,,,singular,,[],unknown,unknown
"2 Such a moralistic view of the laity as stray sheep , unfortunately , led to their dismissal as an inconsequential subject .",sheep,"case(sheep-11, as-9) amod(sheep-11, stray-10) nmod:as(view-5, sheep-11) ",NN,,,,,,,,as view,as,view,,,,,,stray,,,,,,,,,,,,singular,,[],unknown,unknown
Villagers were prohibited from owning more than five head of cattle and fifty sheep .,sheep,"compound(sheep-14, fifty-13) nmod:of(head-9, sheep-14) conj:and(cattle-11, sheep-14) ",NN,,,,,,,,of head,of,head,,,and,cattle,fifty,,,,,,,,,,,,,singular,,[],unknown,unknown
"Such forest types are clearly the result of biotic features of browsing by sheep , goat , camel , etc .",sheep,"compound(camel-18, sheep-14) ",NN,,,,,,,,,,,,,,,camel,,,,,,,,,,,,,singular,,[],unknown,unknown
"Social Perception 's of Physical Education <p> Physical education of today is seen as a black sheep of the education family , and society in general concurs .",sheep,"case(sheep-17, as-14) det(sheep-17, a-15) amod(sheep-17, black-16) nmod:of(sheep-17, family-21) cc(sheep-17, and-23) conj:and(sheep-17, society-24) nmod:as(seen-13, sheep-17) ",NN,,,,,,,,"of family, as seen","of, as",seen,family,a,and,society,,black,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"<p> Men , old and some of whom are infected and burdened with an evil raging disease , so that almost no one can be of any assistance to another -- 7 <p> Widows who wander about aimlessly with their poor children and breed misery -- 6 <p> Table of animals and what the village saved over winter -- cows 2 , sheep 0 , horses 0 , oxen I , pigs 0 , plows 1 <p> A whole wagon with yoke could be put together in an emergency but we would not trust it to last one mile with just half a load.",sheep,"nummod(sheep-63, 0-64) appos(cows-60, sheep-63) ",NN,,,,,,,,,,,,,,,,,,,0,,"modifier, cows",cows,,,,0,other,singular,,['O-DEN'],countable,unknown
"Children were particularly useful in attending sheep and cattle , but many of the autobiographies also account for several other tasks entrusted to young children.",sheep,"cc(sheep-7, and-8) conj:and(sheep-7, cattle-9) dobj(attending-6, sheep-7) ",NN,,VBG,,,attending,attend,,,,,,,and,cattle,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"2 65% of the Greenfield heads of household owned horses , 57% ownedoxen , 76% owned cows or cattle , 64% owned goats or sheep , and 57% ownedsome swine ( see Table 1 ) .",sheep,"dobj(owned-26, sheep-29) conj:or(goats-27, sheep-29) ",NN,,VBN,,,owned,own,,,,,,,or,goats,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Among its members are big-time cheese producers and family farmsteads with modest flocks of cows , goats , or sheep .",sheep,"nmod:of(flocks-13, sheep-20) conj:or(cows-15, sheep-20) ",NN,,,,,,,,of flocks,of,flocks,,,or,cows,,,,,,,,,,,,,,singular,,[],unknown,unknown
"During operation , animals including cattle ( one to three ) , pigs ( three to six ) and/or sheep ( two to four ) , as well as from nine to 20 students and personnel , were in the slaughtering area .",sheep,"case(sheep-20, and/or-19) dep(sheep-20, four-24) nmod:and/or(pigs-13, sheep-20) ",NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"For , of course , a name for every sheep is precisely what is promised in the pastoral ideal .",sheep,"case(sheep-10, for-8) det(sheep-10, every-9) nmod:for(name-7, sheep-10) ",NN,,,,,,,,for name,for,name,,every,,,,,,,,,,,,,,every,other,singular,,['O-DEN'],countable,unknown
"This can look like a version of traditional localism , wherein we have a name for each of our sheep .",sheep,"case(sheep-20, of-18) nmod:poss(sheep-20, our-19) nmod:of(each-17, sheep-20) ",NN,,,,,,,,of each,of,each,,,,,,,,our,,,,,,,,,,singular,,[],unknown,unknown
Later they will tend sheep and work the orchard .,sheep,"dobj(tend-4, sheep-5) ",NN,,VB,,,tend,tend,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
The sheep were still thick with wool .,sheep,"det(sheep-2, The-1) nsubj(thick-5, sheep-2) ",NN,,VBD,were,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
2 All three groups of linguists can unite in a haughty rejection of the ugly Germans and the wheel of self-satisfied superiority can go on turning till there is a big inclusive group and just one black sheep left .,sheep,"advmod(sheep-38, just-35) nummod(sheep-38, one-36) amod(sheep-38, black-37) acl(sheep-38, left-39) nsubj(is-29, sheep-38) conj:and(group-33, sheep-38) ",NN,,VBZ,is,be,,,,,,,,,and,group,,black,,,one,just,,,,,,one,unit,singular,singular,['A+N'],countable,unknown
"When his companions arrive , they see domestic ( white ) sheep wearing bells and pale people wearing "" Japanese scarfs . """,sheep,"amod(sheep-12, domestic-8) dep(sheep-12, white-10) acl(sheep-12, wearing-13) dobj(see-7, sheep-12) ",NN,,VBP,,,see,see,,,,,,,,,,domestic,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"One sheep is left as evidence of the meeting and the people return home with it , wearing their new item of clothing as further proof of the encounter .",sheep,"nummod(sheep-2, One-1) nsubjpass(left-4, sheep-2) ",NN,,VBN,left,leave,,,,,,,,,,,,,,,one,,,,,,,one,other,singular,ambiguous,['O-DEN'],countable,unknown
Men also shear the hair of goats and the wool of sheep and give it to women who then transform it into social uses .,sheep,"case(sheep-12, of-11) nmod:of(wool-10, sheep-12) ",NN,,,,,,,,of wool,of,wool,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"If the accused did not have cattle and sheep , he gave either one of his wives or one of his children as a guarantee until he paid the requested fine .",sheep,"dobj(have-6, sheep-9) conj:and(cattle-7, sheep-9) ",NN,,VB,,,have,have,not,,,,,,and,cattle,,,,,,,,,,,,,,singular,ambiguous,[],unknown,verdical
"<p> Thus , for Virgil , the stag , mindful of some sweet pastoral sheep or goat , is ironically milder than the Fury Allecto ( Otis 322 , 323 , 325 ) .",sheep,"case(sheep-15, of-11) det(sheep-15, some-12) amod(sheep-15, sweet-13) amod(sheep-15, pastoral-14) cc(sheep-15, or-16) conj:or(sheep-15, goat-17) nmod:of(mindful-10, sheep-15) ",NN,,,,,,,,of mindful,of,mindful,,some,or,goat,,"sweet, pastoral",,,,,,,,,,,,singular,,[],unknown,unknown
"Now you can hear a great marvel ; it never touched a sheep , for it was thoroughly tame , wholly contrary to its nature .",sheep,"det(sheep-13, a-12) dobj(touched-11, sheep-13) ",NN,,VBD,,,touched,touch,never,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,verdical
"The extreme repetition leads to it , it 's the principle of counting sheep for insomniacs .",sheep,"case(sheep-14, of-12) amod(sheep-14, counting-13) nmod:for(sheep-14, insomniacs-16) nmod:of(principle-11, sheep-14) ",NN,,,,,,,,"for insomniacs, of principle","for, of",principle,insomniacs,,,,,counting,,,,,,,,,,,,singular,,[],unknown,unknown
<p> Elisabeth S. Vrba was born in Germany and raised in Namibia on a karakul sheep farm .,sheep,"compound(farm-17, sheep-16) ",NN,,,,,,,,,,,,,,,farm,,,,,,,,,,,,,singular,,[],unknown,unknown
"Today the range of animals encompasses cattle , sheep , hogs , etc .",sheep,"conj(hogs-11, sheep-9) ",NN,,,,,,,,,,,,,,hogs,,,,,,,,,,,,,,singular,,[],unknown,unknown
"In the tone of British humor he relayed that a rat , bird , or even a sheep that fell into the open vats would give the brew "" body . """,sheep,"advmod(sheep-18, even-16) det(sheep-18, a-17) ref(sheep-18, that-19) acl:relcl(sheep-18, fell-20) conj:or(rat-11, sheep-18) nsubj(fell-20, sheep-18) nsubj(give-26, sheep-18) ",NN,,VBD,fell,fell,,,,,,,,a,or,rat,,,,,,even,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"<p> To bring in the grazing component , four of each set of six lysimeters ( drought vs. normal rainfall ) were grazed by sheep in the spring and summer of 1994 .",sheep,"case(sheep-25, by-24) nmod:by(grazed-23, sheep-25) ",NN,,,,,,,,by grazed,by,grazed,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> 
##4016488 Expanded database will speed improvement of cattle , swine , and sheep .",sheep,"nmod:of(improvement-8, sheep-15) conj:and(cattle-10, sheep-15) ",NN,,,,,,,,of improvement,of,improvement,,,and,cattle,,,,,,,,,,,,,,singular,,[],unknown,unknown
The latter effort on combining markers and other information involves the sheep genome .,sheep,"compound(genome-13, sheep-12) ",NN,,VBZ,,,involves,involve,,,,,,,,,genome,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"<p> As cattle and swine genome maps are being expanded and refined , a map for sheep is also under development for release next year , says Beattie , team leader of the project at the Roman L. Hruska U.S. Meat Animal Research Center ( MARC ) in Clay Center , Nebraska .",sheep,"case(sheep-17, for-16) nmod:for(map-15, sheep-17) ",NN,,,,,,,,for map,for,map,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Cattle have 30 pairs of chromosomes ; swine , 19 ; and sheep , 27 .",sheep,"amod(sheep-14, 27-16) dobj(have-3, sheep-14) conj:and(pairs-5, sheep-14) ",NN,,VBP,,,have,have,,,,,,,and,pairs,,27,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"<p> The studies involve cattle , swine , and sheep families made up of several breeds .",sheep,"compound(families-11, sheep-10) ",NN,,VBP,,,involve,involve,,,,,,,,,families,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"<p> Two forms of malignant catarrhal fever exist , one in domestic sheep and one in African wildebeests .",sheep,"case(sheep-13, in-11) amod(sheep-13, domestic-12) nmod:in(one-10, sheep-13) ",NN,,,,,,,,in one,in,one,,,,,,domestic,,,,,,,,,,,,singular,,[],unknown,unknown
<p> Cattle seem to contract the disease from sheep in the United States and from wildebeests in Africa .,sheep,"case(sheep-9, from-8) nmod:in(sheep-9, States-13) nmod:from(contract-5, sheep-9) ",NN,,,,,,,,"in States, from contract","in, from",contract,states,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
And sheep may give the disease to other wild ruminants .,sheep,"nsubj(give-4, sheep-2) ",NN,,VB,give,give,,,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> "" We are studying sheep to find out how they transmit the disease to cattle .",sheep,"dobj(studying-5, sheep-6) ",NN,,VBG,,,studying,study,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"We are also interested in why sheep do n't get sick from the virus . """,sheep,"nsubj(get-10, sheep-7) ",NN,,VB,get,get,,,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> Robinson is exploring related diseases that occur in the United States : scrapie in sheep and transmissible mink encephalopathy , or TME , in mink .",sheep,"cc(sheep-16, and-17) conj:and(sheep-16, transmissible-18) compound(encephalopathy-20, sheep-16) ",NN,,,,,,,,,,,,,and,transmissible,encephalopathy,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> The feeders could also be used to apply topical pesticides to other animals , such as red deer , antelope , elk , sheep , goats , pigs , and cattle .",sheep,"nmod:such_as(animals-14, sheep-25) conj:and(deer-19, sheep-25) ",NN,,,,,,,,such_as animals,such_as,animals,,,and,deer,,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> In New Zealand you can arrange a visit to a sheep farm to tape the sights and sounds of dogs working the flocks in response to the shepherds whistled commands .,sheep,"compound(farm-13, sheep-12) ",NN,,,,,,,,,,,,,,,farm,,,,,,,,,,,,,singular,,[],unknown,unknown
"More than 60 percent of the cattle , sheep , and goats are stall-fed or tethered for part or all of the year.",sheep,"nmod:of(percent-4, sheep-9) conj:and(cattle-7, sheep-9) ",NN,,,,,,,,of percent,of,percent,,,and,cattle,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> TABLE 3 <p> AVERAGE VALUES OF HOUSEHOLD INCOME INVESTMENT AND FARM SIZE IN MWALA , KENYA , IN 1980 <p> Legend for Chart : PREFORMATTED TABLE <p> Note : A livestock unit is one mature head of cattle or five sheep or goats , Cash figures are in Kenya shillings .",sheep,"nummod(sheep-42, five-41) cc(sheep-42, or-43) conj:or(sheep-42, goats-44) ccomp(Note-29, sheep-42) conj:or(head-37, sheep-42) ",NN,,NN,,,Note,note,,,,,,,"or, or","goats, head",,,,,five,,,,,,,five,other,singular,ambiguous,['O-DEN'],countable,unknown
"For this question he would reward a peanut only for the complete answer : "" Wool , from sheep , an animal product used for sweaters .",sheep,"case(sheep-19, from-18) nmod:from(used-24, sheep-19) ",NN,,,,,,,,from used,from,used,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"When Beeton writes about sheep , we watch the fleecy creatures decompose before our eyes , changing from independent organisms into processes by which grass and turnips are converted into "" good mutton and fine wool . """,sheep,"case(sheep-5, about-4) nmod:about(writes-3, sheep-5) ",NN,,,,,,,,about writes,about,writes,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"He draws on a pastoral metaphor for Circe 's relation to her menagerie : she presides , he says , "" like a shepherd over a great flock of sheep . """,sheep,"case(sheep-30, of-29) nmod:of(flock-28, sheep-30) ",NN,,,,,,,,of flock,of,flock,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"36 <p> In the account of the ceremonies associated with the dedication of Solomon 's temple , it is proclaimed that the number of sheep and cattle sacrificed exceeded the bounds of belief , and that these holocausts were followed by the placement of the ark with its tablets of the Law in the temple 's inner sanctuary .",sheep,"case(sheep-25, of-24) cc(sheep-25, and-26) conj:and(sheep-25, cattle-27) nmod:of(number-23, sheep-25) ",NN,,,,,,,,of number,of,number,,,and,cattle,,,,,,,,,,,,,,singular,,[],unknown,unknown
"One Wiccan , for example , related how Wiccans were regarded as "" wolves in sheep 's clothing "" by the Campus Crusade For Christ .",sheep,"case(sheep-16, 's-17) nmod:poss(clothing-18, sheep-16) ",NN,,,,,,,,,,,,,,,,,clothing,,,,,,,,,,,singular,,[],unknown,unknown
"In the middle of the twentieth century , virtually all indigenous peasant families in Otavalo were raising sheep and using the wool to make homespun cloth .",sheep,"dobj(raising-17, sheep-18) ",NN,,VBG,,,raising,raise,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> The decline of extensive sheep breeding was accompanied by proliferating small family herds of cattle and pigs , which were kept near peasants houses .",sheep,"compound(breeding-7, sheep-6) ",NN,,,,,,,,,,,,,,,breeding,,,,,,,,,,,,,singular,,[],unknown,unknown
"This permits some limited winter grazing of sheep and camels in the northern part of the UAE , which must be supplemented by fodder grown in oases or imported .",sheep,"case(sheep-8, of-7) cc(sheep-8, and-9) conj:and(sheep-8, camels-10) nmod:of(grazing-6, sheep-8) ",NN,,,,,,,,of grazing,of,grazing,,,and,camels,,,,,,,,,,,,,,singular,,[],unknown,unknown
"( Ludlow 1870 , 580 ) ON ENTRY <p> Chandless described a city with outskirts dominated by pastures and wheat fields , and he attributed the relative absence of sheep to wolves , which had made the journey across the plains "" troublesome "" ( 1857,138-139 ) .",sheep,"case(sheep-30, of-29) nmod:of(absence-28, sheep-30) ",NN,,,,,,,,of absence,of,absence,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
