sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Lunch is like this , potatoes and carrots cooked together in a broth .",carrots,"appos(this-4, carrots-8) conj:and(potatoes-6, carrots-8) ",NNS,,,,,,,,,,,,,,and,potatoes,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modifier, this",this,,,,,,plural,bare plural,,,unknown,unknown
"In principle , the ability of the United States to achieve its policy objectives depends on the magnitude of the incentives -- the size of the carrot or the stick -- and the degree of compatibility between US policy goals and those of the recipient militaries .",carrot,"case(carrot-27, of-25) det(carrot-27, the-26) cc(carrot-27, or-28) conj:or(carrot-27, stick-30) nmod:of(size-24, carrot-27) ",NN,,,,,,,,of size,of,size,,the,definite article,or,stick,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Almolonga is one of the larger producers of cabbages and carrots in the country , also producing onions , beets , cauliflower , radishes , and other vegetables .",carrots,"nmod:of(producers-7, carrots-11) conj:and(cabbages-9, carrots-11) ",NNS,,,,,,,,of producers,of,producers,,,,and,cabbages,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"With a stick of direct labor market and production regulation , and a carrot of government purchases and assistance awarded those firms moving in the desired direction , it needs to push restructuring in a direction other than the one it now "" naturally "" takes .",carrot,"det(carrot-14, a-13) nmod:of(carrot-14, purchases-17) nmod:of(carrot-14, assistance-19) nmod:of(stick-3, carrot-14) conj:and(market-7, carrot-14) ",NN,,,,,,,,"of purchases, of assistance, of stick","of, of, of",stick,"purchases, assistance",a,indefinite article,and,market,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,,A+N,countable,unknown
"Moreover , the combination of grants and services is in many cases a big enough carrot to get firms to change behaviors .",carrot,"det(carrot-16, a-13) amod(carrot-16, big-14) amod(carrot-16, enough-15) dep(cases-12, carrot-16) ",NN,,,,,,,,,,,,a,indefinite article,,,,"big, enough","[0.0525, 0.03333333333333333]","[0.07175, 0.008854166666666666]","[0.019166666666666665, 0.0009375]","[0.22333333333333333, 0.04375]","[0.07, 0.012916666666666665]","[0.03, 0.0275]","[0.04125, 0.051]","[0.0325, 0.015]","[0.15449999999999997, 0.026708333333333334]","[0.06, 0.04]","[0.085, 0.0325]","[0.0575, 0.0575]","[0.1025, 0.65]",,,,,,,,,,a,unit,singular,linked,,A+N,countable,unknown
"In "" Farmer Brown 's Field , "" the user creates his or her own ecosystem by selecting three life forms , such as carrots , rabbits , and wolves , and then watches their life cycles as the seasons change and populations grow and die off .",carrots,"case(carrots-25, such-23) conj:and(carrots-25, rabbits-27) cc(carrots-25, and-29) conj:and(carrots-25, wolves-30) nmod:such_as(Field-6, carrots-25) ",NNS,,,,,,,,such_as Field,such_as,field,,,,"and, and","rabbits, wolves",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
Indeed the indemnification of the SADF made it easier for the soldier to grasp the stick than to release the carrot .,carrot,"det(carrot-21, the-20) dobj(release-19, carrot-21) ",NN,,VB,,,release,release,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"43 The Long Reach of the SADF <p> While the SADF was mixing sticks and carrots south of the international border with Angola , it was equally intent upon projecting the war beyond that border .",carrots,"dobj(mixing-13, carrots-16) conj:and(sticks-14, carrots-16) ",NNS,,VBG,,,mixing,mix,,,,,,,,and,sticks,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"The $4 billion aid carrot the EC then produced could have been the last hope for avoiding war , had it not been dangled in front of the Yugoslavs at least a year too late .",carrot,"det(carrot-6, The-1) amod(carrot-6, $-2) compound(carrot-6, aid-5) acl:relcl(carrot-6, produced-10) nsubj(hope-16, carrot-6) ",NN,,VBN,been,be,,,,,,,,the,other,,,aid,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"<p> Detente has some appeal , especially if the Western allies can reach a consensus on the carrots and sticks to be applied to Iran .",carrots,"case(carrots-18, on-16) det(carrots-18, the-17) nmod:on(reach-13, carrots-18) ",NNS,,,,,,,,on reach,on,reach,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,,,unknown,unknown
"The enticement of being assessed , and possibly of getting an award , are the carrots Sheer has to dangle before students in order to get them to enroll in her training seminars that are mandatory for anyone wanting to enter the competition.",carrots,"nsubj(carrots-16, enticement-2) nsubj(carrots-16, possibly-8) cop(carrots-16, are-14) det(carrots-16, the-15) acl:relcl(carrots-16, has-18) root(ROOT-0, carrots-16) ",NNS,,VBP,,,are,be,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,plural,,unknown,unknown
"<p> Thanks to their research , carrots , onions , cucumbers , and garlic taste better and contain more nutrients .",carrots,"nmod:to(<p>-1, carrots-7) conj:and(research-5, carrots-7) ",NNS,,,,,,,,,,,,,,and,research,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"<p> Plant geneticist Philipp W. Simon , who is at the ARS Vegetable Crops Research Laboratory in Madison , Wisconsin , says that these stocks account for about 80 percent of the parentage of carrot seed , 55 percent of onions ' , and 30 percent of the parentage of cucumbers grown in the United States .",carrot,"compound(seed-36, carrot-35) ",NN,,,,,,,,,,,,,,,,seed,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> ARS vegetable breeders have also produced carrots with improved yield , color , flavor , and disease resistance .",carrots,"dobj(produced-7, carrots-8) ",NNS,,VBN,,,produced,produce,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"<p> Overall , ARS researchers in Madison conduct about 60 percent of carrot research in the U.S. public sector , 35 percent of cucumber research , 30 percent of onion research , and 90 percent of the garlic research .",carrot,"compound(research-14, carrot-13) ",NN,,,,,,,,,,,,,,,,research,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Look What 's Happening to Carrots <p> A great source of fiber and bulk , carrots also provide 30 percent of the vitamin A consumed in the United States .",carrots,"nsubj(provide-18, carrots-16) ",NNS,,VBP,provide,provide,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,plural,,unknown,unknown
"And carrots are highly valued today for their health benefits -- especially , beta carotene content .",carrots,"nsubjpass(valued-5, carrots-2) ",NNS,,VBN,valued,value,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"<p> Thirty years ago , when an ARS plant breeder , the late Clinton E. Peterson , began improving carrots , they contained only about 70 parts per million ( ppm ) carotene .",carrots,"dobj(improving-19, carrots-20) ",NNS,,VBG,,,improving,improve,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"Today , most commercially grown carrots typically contain 120 to 160 ppm carotene , thanks to the work of Peterson and Simon .",carrots,"amod(carrots-6, grown-5) nsubj(contain-8, carrots-6) ",NNS,,VBP,contain,contain,,,,,,,,,,,,,grown,[0.14933333333333332],[0.03916666666666667],[0.025],[0.06416666666666666],[0.064],[0.0325],[0.13770833333333335],[0.0625],[0.17812499999999998],[0.07],[0.0775],[0.0625],[0.0375],,,,,,,,,,,,plural,linked,plural,,unknown,unknown
"<p> Getting people to eat more carrots may be a bit of a challenge , but one that ARS has already tackled .",carrots,"amod(carrots-7, more-6) dobj(eat-5, carrots-7) ",NNS,,VB,,,eat,eat,,,,,,,,,,,more,[0.053125],[0.12375],[0.01375],[0.09625],[0.133125],[0.011875],[0.086],[0.0475],[0.10337500000000001],[0.025],[0.04875],[0.0225],[0.235],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
Scientists have produced varieties with potential for the processed carrot market .,carrot,"compound(market-11, carrot-10) ",NN,,,,,,,,,,,,,,,,market,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Basic Vegetable Products , a supplier of dehydrated ingredients for dried foods in Modesto , California , is considering several of them for new raw carrot snack products .",carrot,"compound(products-28, carrot-26) ",NN,,,,,,,,,,,,,,,,products,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> Orlando Gold , released by ARS in 1982 , now appears in the peeled baby carrot market in California .",carrot,"compound(market-18, carrot-17) ",NN,,,,,,,,,,,,,,,,market,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
For several years it has accounted for over two-thirds of Florida 's carrot acreage .,carrot,"compound(acreage-14, carrot-13) ",NN,,,,,,,,,,,,,,,,acreage,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
<p> Simon estimates that at least 80 percent of all carrots grown in the United States today contain at least one genetic component of USDA-ARS germplasm .,carrots,"case(carrots-11, of-9) det(carrots-11, all-10) acl(carrots-11, grown-12) nmod:of(percent-8, carrots-11) ",NNS,,,,,,,,of percent,of,percent,,all,quantifier,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,,,unknown,unknown
"With continued work on genetic plant selection and biotechnological methods , the carrots our grandchildren and great-grandchildren eat will be sweeter , contain even higher carotene levels , resist diseases and insects , and require fewer chemical inputs .",carrots,"det(carrots-13, the-12) acl:relcl(carrots-13, eat-18) nsubj(sweeter-21, carrots-13) nsubj(contain-23, carrots-13) nsubj(resist-29, carrots-13) nsubj(require-35, carrots-13) ",NNS,,VB,be,be,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
( K5609-1 ) <p> PHOTO : Geneticist Philipp Simon prepares carrot flowers for pollination .,carrot,"compound(flowers-12, carrot-11) ",NN,,VBZ,,,prepares,prepare,,,,,,,,,,flowers,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
"Bred for commercial production , the harvested carrots ( with tops ) contain genes from wild and unimproved relatives such as those displayed at bottom center .",carrots,"det(carrots-8, the-6) amod(carrots-8, harvested-7) nmod:with(carrots-8, tops-11) nsubj(contain-13, carrots-8) ",NNS,,VBP,contain,contain,,,,with tops,with,,tops,the,definite article,,,,harvested,[0.06875],[0.1625],[0.00975],[0.055],[0.0375],[0.0175],[0.02],[0.03625],[0.4515],[0.0325],[0.025],[0.0575],[0.02625],,,,,,,,,,,,plural,linked,plural,,unknown,unknown
Commercialization adds to the stick of necessity the carrot of incentive for investment in new technologies .,carrot,"det(carrot-9, the-8) nmod:of(carrot-9, incentive-11) dobj(adds-2, carrot-9) ",NN,,VBZ,,,adds,add,,of incentive,of,,incentive,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"It 's a really grand version of carrot and stick , for suppressing your cravings for evidence .",carrot,"case(carrot-8, of-7) cc(carrot-8, and-9) conj:and(carrot-8, stick-10) nmod:of(version-6, carrot-8) ",NN,,,,,,,,of version,of,version,,,,and,stick,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"This is quite different from a shared vision and a social contract between the state and private industry , with the latter providing information to the state and the state providing the appropriate carrots and sticks .",carrots,"det(carrots-34, the-32) amod(carrots-34, appropriate-33) dobj(providing-31, carrots-34) ",NNS,,VBG,,,providing,provide,,,,,,the,definite article,,,,appropriate,[0.03],[0.03625],[0.0],[0.03725],[0.0275],[0.017],[0.6655],[0.01125],[0.05441666666666666],[0.02916666666666667],[0.01],[0.056666666666666664],[0.025],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"Although the RTM has high initial capital costs , we felt that there was a big ' cost carrot ' downstream that we might take advantage of , "" he said . """,carrot,"compound(downstream-21, carrot-19) ",NN,,VBD,was,be,,,,,,,,,,,,downstream,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"( n1 ) The carrot sticks and celery are certainly safer , but not above suspicion , because they contain cholinesterase inhibitors that modify neurochemical transmitters .",carrot,"det(carrot-5, The-4) nsubj(sticks-6, carrot-5) nsubj(celery-8, carrot-5) ",NN,,VBZ,sticks,stick,,,,,,,,the,other,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"A clinical report by Cerny and Cerny ( 1992 ) cited three cases of addiction to raw carrots , with psychophysical dependence allegedly similar in strength to that of cigarettes .",carrots,"case(carrots-18, to-16) amod(carrots-18, raw-17) nmod:to(cited-11, carrots-18) ",NNS,,,,,,,,to cited,to,cited,,,,,,,raw,[0.0375],[0.05252380952380952],[0.006666666666666666],[0.0355],[0.027035714285714288],[0.005857142857142858],[0.025],[0.0175],[0.7554166666666666],[0.006999999999999999],[0.0075],[0.0025],[0.02],,,,,,,,,,,,plural,linked,,,unknown,unknown
"( In recent legal proceedings , cigarette executives referred to the Cerny and Cerny study to support their claim that cigarettes and carrots have similar addiction potential Associated Press 1997 . )",carrots,"conj:and(cigarettes-21, carrots-23) nsubj(have-24, carrots-23) ",NNS,,VBP,have,have,,,,,,,,,,and,cigarettes,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,plural,,unknown,unknown
"s study concludes with a call for policy makers to eschew the stick in favor of the carrot . """,carrot,"case(carrot-18, of-16) det(carrot-18, the-17) nmod:of(favor-15, carrot-18) ",NN,,,,,,,,of favor,of,favor,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"In response , Vacaroiu 's government used a combination of carrots and sticks , and on some occasions President Iliescu personally mediated the disputes .",carrots,"case(carrots-11, of-10) nmod:of(combination-9, carrots-11) ",NNS,,,,,,,,of combination,of,combination,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"The vegetables produced include carrots , leeks , cucumbers , peppers , and kale .",carrots,"conj:and(carrots-5, leeks-7) conj:and(carrots-5, cucumbers-9) conj:and(carrots-5, peppers-11) cc(carrots-5, and-13) conj:and(carrots-5, kale-14) dobj(include-4, carrots-5) ",NNS,,VB,,,include,include,,,,,,,,"and, and, and, and","leeks, cucumbers, peppers, kale",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"2 <p> As the Soil Bank and CRP suggest , policies to reduce the environmental impacts of agriculture have generally taken the form of "" carrots "" rather than "" sticks . """,carrots,"case(carrots-26, of-24) nmod:of(form-23, carrots-26) ",NNS,,,,,,,,of form,of,form,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"In another approach , cells from natural foods such as carrots or meat are cloned , and the outputs of the food factories are edible duplications of the parent cells .",carrots,"case(carrots-11, such-9) cc(carrots-11, or-12) conj:or(carrots-11, meat-13) nmod:such_as(foods-8, carrots-11) ",NNS,,,,,,,,such_as foods,such_as,foods,,,,or,meat,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"As part of his commandment , God says , "" For I , the Lord thy God , am a jealous God , visiting the iniquity of the fathers upon the children unto the third and fourth generation of them that hate me "" -- this is the stick , followed by the carrot -- "" and shewing mercy unto thousands of them that love me , and keep my commandments . """,carrot,"case(carrot-54, by-52) det(carrot-54, the-53) nmod:by(followed-51, carrot-54) ",NN,,,,,,,,by followed,by,followed,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"If the motive for the visual pleasure elicited through the attractive display of carrots or , say , medicine tablets is financial , the process nonetheless reflects the same interactive pattern that characterizes the aesthetic quality of other works , such as houses , which are classified as Hausa art ( Moughtin 1985 ) .",carrots,"case(carrots-14, of-13) nmod:of(display-12, carrots-14) ",NNS,,,,,,,,of display,of,display,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"The juxtaposition of strong primary colors in displays of medicine-tablet packets , for example , conveys a similar attractiveness , as do configurations of bright-orange carrots on beds of dark-green carrot tops .",carrots,"case(carrots-26, of-24) amod(carrots-26, bright-orange-25) nmod:of(configurations-23, carrots-26) ",NNS,,,,,,,,of configurations,of,configurations,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"The juxtaposition of strong primary colors in displays of medicine-tablet packets , for example , conveys a similar attractiveness , as do configurations of bright-orange carrots on beds of dark-green carrot tops .",carrot,"compound(tops-32, carrot-31) ",NN,,,,,,,,,,,,,,,,tops,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> The Aesthetics of Carrots and Other Displays During the months of January through March in Northern Nigeria , carrots are harvested and arranged at market in a variety of attractive patterns .",carrots,"nsubjpass(harvested-22, carrots-20) nsubjpass(arranged-24, carrots-20) ",NNS,,VBN,harvested,harvest,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"While carrot sellers do not name the different pattern styles , they follow certain conventions of display that suggest the sort of transformative process of materials and the sharing of ideas that Dewey had in mind .",carrot,"compound(sellers-3, carrot-2) ",NN,,VB,name,name,,,not,,,,,,,,,sellers,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,verdical
"<p> After the carrots are washed and their leafy tops cut off , they are bound together in sets of three .",carrots,"det(carrots-4, the-3) nsubjpass(washed-6, carrots-4) ",NNS,,VBN,washed,wash,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"In the flat display style , the sets are displayed in straight rows on a rectangular bed of green carrot tops .",carrot,"compound(tops-21, carrot-20) ",NN,,,,,,,,,,,,,,,,tops,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
( n9 ) <p> Some carrot sellers clearly took more care with their arrangements than did others .,carrot,"compound(sellers-7, carrot-6) ",NN,,VBD,took,take,,,,,,,,,,,,sellers,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> Discussing the recent phenomenon of the "" public intellectual , "" Jeffrey Williams locates it as a professional event in the following manner : <p> An inverse function of public access -- while material access becomes more and more rarified to the university and to the professional field -- is to promulgate a model of the academic celebrity , hypostasizing the model of intellectual star , with broad public appeal and name recognition , as an intellectual carrot -- a kind of intellectual Horatio Alger story -- for those struggling with the blunt exigencies of employment , for those unemployed or "" underemployed "" to dream and strive for , at the same time that socio-institutional conditions make that dream more and more fantastical.",carrot,"case(carrot-79, as-76) det(carrot-79, an-77) amod(carrot-79, intellectual-78) dep(carrot-79, kind-82) nmod:for(carrot-79, those-90) nmod:as(hypostasizing-61, carrot-79) ",NN,,,,,,,,"for those, as hypostasizing","for, as",hypostasizing,those,an,indefinite article,,,,intellectual,[0.0775],[0.051333333333333335],[0.015],[0.135],[0.0475],[0.0975],[0.095],[0.02716666666666667],[0.0365],[0.065],[0.0525],[0.205],[0.095],,,,,,,,,,an,unit,singular,linked,,A+N,countable,unknown
