sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"<p> 
##4013197 Section : A MATTER OF TASTE Cheese judging , like wine tasting , requires a fine palate and an arsenal of technical jargon <p> My plane to Burlington , Vermont , landed just minutes before a pelting , thundering lightning storm flooded roads and cut off power to the Shelburne Inn on the nearby shore of Lake Champlain .",lightning,"compound(storm-44, lightning-43) ",NN,,,,,,,,,,,,,,,,storm,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
The difference PSAers can have on thousands of America 's children is as dramatic as lightning .,lightning,"case(lightning-16, as-15) nmod:as(dramatic-14, lightning-16) ",NN,,,,,,,,as dramatic,as,dramatic,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
You can be lightning -- not a lightning bug !,lightning,"nsubj(lightning-4, You-1) aux(lightning-4, can-2) cop(lightning-4, be-3) dep(lightning-4, bug-9) root(ROOT-0, lightning-4) ",NN,,VB,,,be,be,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,can,,,,singular,bare singular,ambiguous,,unknown,nonverdical
You can be lightning -- not a lightning bug !,lightning,"compound(bug-9, lightning-8) ",NN,,,,,,,,,,,,,,,,bug,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
<p> Bill was struck by lightning .,lightning,"case(lightning-6, by-5) nmod:by(struck-4, lightning-6) ",NN,,,,,,,,by struck,by,struck,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The gentle "" You see it should be like this , "" as her body contracts with lightning , plummets to the earth and strikes stars out of the floor . """,lightning,"case(lightning-18, with-17) nmod:with(this-10, lightning-18) ",NN,,,,,,,,with this,with,this,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Wallace followed , and while he preached , "" the house was shaken , a cry was raised in doors , and the panic spread among the crowd outside , until sinners were stricken down as by lightning . """,lightning,"case(lightning-38, by-37) nmod:by(stricken-34, lightning-38) ",NN,,,,,,,,by stricken,by,stricken,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Douglas Robin-sons Giants in the Sky chronicles the phenomenon day by day : on 24 August 1921 , the British R 38 snapping in two over Hull , sinking into the Humber , and exploding ; on 21 December 1923 , the French Dixmude vaporized by a flash of lightning over the Mediterranean ; on 3 September 1925 , American sailors falling out of a dawn sky over Ohio , slowly followed by the buoyant wreckage of their ship Shenandoah ; on 5 October 1930 , a hydrogen pyre blossoming above the British R 101 , nose down in a field in France ; on 12 February 1935 , the American Macon torn open over the Pacific by a gust of wind .",lightning,"case(lightning-50, of-49) nmod:of(flash-48, lightning-50) ",NN,,,,,,,,of flash,of,flash,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"And does not this signature , more important for a contemporary than the "" thunders and lightning "" of Sinai , betray the faith of the common reader ?",lightning,"nmod:of(lightning-17, Sinai-20) appos(signature-5, lightning-17) conj:and(thunders-15, lightning-17) ",NN,,,,,,,,of Sinai,of,,sinai,,,and,thunders,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modifier, signature",signature,,,,,,singular,bare singular,,,unknown,unknown
"The hazards listed in the questionnaire were drought , flooding , excessive rain , windstorm , hail , frost , excessive heat , excessive cold , and lightning ( Table I ) .",lightning,"dep(lightning-28, Table-30) conj:and(heat-22, lightning-28) ",NN,,,,,,,,,,,,,,and,heat,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"In southwestern Wisconsin 24 percent of the dairy farms lost cows to lightning , but no loss from this hazard was reported from the southeastern portion of the state .",lightning,"case(lightning-13, to-12) nmod:to(lost-10, lightning-13) ",NN,,,,,,,,to lost,to,lost,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"1 -- Percentages of dairy farmers experiencing crop losses from drought , frost , and hail as well as loss of cows by lightning between 1990 and 1992 , by agricultural-reporting district .",lightning,"case(lightning-24, by-23) nmod:between(lightning-24, 1990-26) nmod:between(lightning-24, 1992-28) nmod:by(experiencing-7, lightning-24) ",NN,,,,,,,,"between 1990, between 1992, by experiencing","between, between, by",experiencing,"1990, 1992",,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Near San Luis Obispo the schooner Tamana in February 1806 encountered severe weather , including a strong southerly gale and lightning ; snow was visible on nearby mountains ( Hudson 1806 ) .",lightning,"nmod:including(encountered-11, lightning-21) conj:and(gale-19, lightning-21) ",NN,,,,,,,,including encountered,including,encountered,,,,and,gale,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
The president was the apex and lightning rod of its leadership .,lightning,"conj:and(apex-5, lightning-7) compound(rod-8, lightning-7) ",NN,,VBD,,,was,be,,,,,,,,and,apex,rod,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"In his field notes Schneider mentioned that the ndip so ( sege storehouse ) belonging to Lel of Mbamnga village contained medicine for rain and "" for those killed by lightning , so the matter would end . """,lightning,"case(lightning-31, by-30) nmod:by(killed-29, lightning-31) ",NN,,,,,,,,by killed,by,killed,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The thunderbolts , like lightning , clearly convey the sudden , overwhelming , and seemingly capricious power of Shango .",lightning,"case(lightning-5, like-4) nmod:like(thunderbolts-2, lightning-5) ",NN,,,,,,,,like thunderbolts,like,thunderbolts,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"109 If the demoiselles can never function successfully as models of empowerment , they have , nonetheless , already functioned effectively as lightning rods for fear of the empowerment of women and peoples of color .",lightning,"compound(rods-24, lightning-23) ",NN,,,,,,,,,,,,,,,,rods,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Satellites record approximately 100 flashes of lightning per second ( or 3 billion flashes per year ) ; each flash on average oxidizes about 1 kilogram of Nsub2 to nitric oxide.,lightning,"case(lightning-7, of-6) nmod:per(lightning-7, second-9) nmod:of(flashes-5, lightning-7) ",NN,,,,,,,,"per second, of flashes","per, of",flashes,second,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"3 The product , a fixation rate of 3 x 10sup12 grams of nitrogen per year 3 Tg(N)/yr , is only a few percent of the rate of biological nitrogen fixation , though nitrogen was fixed exclusively by lightning and in the shock waves of meteors before the origin of life on this planet.",lightning,"case(lightning-44, by-43) nmod:by(fixed-41, lightning-44) ",NN,,,,,,,,by fixed,by,fixed,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Or there is the sublime as chronicled in one of Immanuel Kant 's few descriptive passages : "" Prominent , overhanging , menacing cliffs , towering storm clouds from which come lightning flashes and thunderclaps as they roll by , volcanoes in their destructive violence , hurricanes leaving devastation in their trail , the boundless , raging ocean , a lofty waterfall on some mighty river , all render our capacity to resist insignificantly small in comparison to their power . """,lightning,"compound(flashes-33, lightning-32) ",NN,,VBP,,,come,come,,,,,,,,,,flashes,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,plural,EX-PL,countable,unknown
"Their proposal was a legally impermissible set-aside plan that became a lightning rod for opposition to faculty hiring preferences based on race , gender , or ethnicity .",lightning,"compound(rod-13, lightning-12) ",NN,,VBD,,,became,become,,,,,,,,,,rod,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"We are reminded here of how history has been repeated , although the situation is somewhat different as the 14 July 1958 revolution , which ended monarchist rule , brought unprecedented hope to the Iraqi people , whereas the 1991 uprising was a lightning flash of last resort which failed , reminding the people that even monarchist rule had not brought suffering , deprivation , fear , and misery on the scale of the 1980s and 1990s .",lightning,"compound(flash-45, lightning-44) ",NN,,VBD,failed,fail,,,,,,,,,,,,flash,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> But lightning struck in the same place in October 1996 when U.S. District Judge Emmet G. Sullivan declared the latest attempt unconstitutional , in violation of children 's equal protection and due process rights and of parents ' Fifth Amendment rights to direct the upbringing of their children .",lightning,"nsubj(struck-4, lightning-3) ",NN,,VBD,struck,strike,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> Not wanting to put all the district 's eggs in the appellate court 's basket , Brazil is searching for adequate statistical evidence of crimes by teenagers during proscribed hours to back another curfew ordinance in case lightning strikes a third time .",lightning,"compound(strikes-40, lightning-39) ",NN,,,,,,,,,,,,,,,,strikes,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
The sculpture was to replace the Emotan tree felled by lightning In the early 1950s .,lightning,"case(lightning-11, by-10) nmod:by(felled-9, lightning-11) ",NN,,,,,,,,by felled,by,felled,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"In compressing many currents of signification , metalepsis is the eye of sublime thunderstorms , charging readers with lightning .",lightning,"case(lightning-19, with-18) nmod:with(charging-16, lightning-19) ",NN,,,,,,,,with charging,with,charging,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"As Michael Faraday taught Emerson , "" ' A grain of water is known to have electric relations equivalent to a very powerful flash of lightning ' "" ( W 10:60 ) .",lightning,"case(lightning-26, of-25) nmod:of(flash-24, lightning-26) ",NN,,,,,,,,of flash,of,flash,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
<p> The Visionary has been troped into something like Faraday 's grain of water containing electrical relations equivalent to a flash of lightning ( W 10:60 ) .,lightning,"case(lightning-23, of-22) nmod:of(flash-21, lightning-23) ",NN,,,,,,,,of flash,of,flash,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Cable support and lightning protectors are available .,lightning,"compound(protectors-5, lightning-4) ",NN,,VBP,are,be,,,,,,,,,,,,protectors,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,plural,EX-PL,countable,unknown
"We find them everywhere : plants , leaves , roots , lungs , vascular tissues , neural dendrites , river drainage basins , lightning , and dendritic crystals .",lightning,"dobj(find-2, lightning-24) conj:and(plants-6, lightning-24) ",NN,,VBP,,,find,find,,,,,,,,and,plants,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,plural,EX-PL,countable,unknown
Protechline lightning and overvoltage arresters have been designed to guard against equipment damage in industrial and process-control operations .,lightning,"amod(lightning-2, Protechline-1) cc(lightning-2, and-3) conj:and(lightning-2, arresters-5) nsubjpass(designed-8, lightning-2) nsubj(guard-10, lightning-2) ",NN,,VB,guard,guard,,,,,,,,,,and,arresters,,protechline,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"A zone concept is used to reduce the effect of direct and nearby lightning as well as surges , electrostatic discharges , and other types of transient voltages .",lightning,"case(lightning-14, of-10) amod(lightning-14, direct-11) amod(lightning-14, nearby-13) nmod:of(effect-9, lightning-14) ",NN,,,,,,,,of effect,of,effect,,,,,,,"direct, nearby","[0.0525, 0.104375]","[0.069375, 0.03958333333333333]","[0.02375, 0.025]","[0.10558333333333332, 0.09166666666666666]","[0.0525, 0.135]","[0.04229166666666666, 0.04]","[0.1902083333333333, 0.0575]","[0.019583333333333335, 0.105]","[0.09170833333333334, 0.163125]","[0.07, 0.055]","[0.025, 0.075]","[0.205, 0.04375]","[0.0525, 0.065]",,,,,,,,,,,,singular,linked,,,unknown,unknown
"<p> God 's answer to Job lies precisely in His not answering ; and Job , with lightning insight , comprehends . """,lightning,"compound(insight-19, lightning-18) ",NN,,,,,,,,,,,,,,,,insight,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"It revealed , as in one horrible flash of lightning , the gap between religious and secular , between zealots for the land and those willing to sacrifice it , between those willing to take large risks for peace and those who view such gambles as trifling with survival .",lightning,"case(lightning-10, of-9) appos(lightning-10, gap-13) nmod:of(flash-8, lightning-10) ",NN,,,,,,,,of flash,of,flash,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modified, gap",,gap,,,,,singular,bare singular,,,unknown,unknown
"One hears , one does not seek ; one accepts , one does not ask who gives ; like lightning , a thought flashes up , with necessity , without hesitation regarding its form -- I never had any choice .",lightning,"case(lightning-20, like-19) nmod:like(flashes-24, lightning-20) ",NN,,,,,,,,like flashes,like,flashes,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
I want instead to focus on a passage from near the end of the book which illuminates the landscape like a lightning bolt .,lightning,"compound(bolt-23, lightning-22) ",NN,,,,,,,,,,,,,,,,bolt,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Even though I have studied school violence for 20 years , I do n't have a good explanation for specific eruptions any more than a meteorologist can explain why lightning struck a particular tree .",lightning,"nsubj(struck-31, lightning-30) ",NN,,VBD,struck,strike,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
Some lawyers say that the panic generated by the high stakes and lightning pace of the ' 80s takeover wars meant that companies did not balk at paying whatever was asked to launch or to defend against a takeover .,lightning,"compound(pace-14, lightning-13) ",NN,,,,,,,,,,,,,,,,pace,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> But traditional concepts have become murky in the computer era , where ephemeral images race through transmission lines at lightning speed .",lightning,"compound(speed-22, lightning-21) ",NN,,,,,,,,,,,,,,,,speed,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> RHODA : Like lightning , every ten seconds I see for a long time .",lightning,"case(lightning-5, Like-4) appos(lightning-5, seconds-9) nmod:like(see-11, lightning-5) ",NN,,,,,,,,like see,like,see,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modified, seconds",,seconds,,,,,singular,bare singular,,,unknown,unknown
"Hidden among the small shops and market stalls that line the street is a shrine dedicated to Shango , the Yoruba deity of thunder and lightning , which was built on this spot shortly after the Oyo Yoruba established Ibadan as a war camp around 1829 .",lightning,"nmod:of(deity-22, lightning-26) conj:and(thunder-24, lightning-26) ",NN,,,,,,,,of deity,of,deity,,,,and,thunder,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"His loyal followers , bent upon revenge , learned the art of calling lightning to destroy those responsible for his downfall .",lightning,"dobj(calling-13, lightning-14) ",NN,,VBG,,,calling,call,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
